 format: day,hour,forecast,value  location:53_114 Start : 20210401 
 1,0200,+4,108.000000 
 1,0200,+7,107.000000 
 1,0200,+10,109.000000 
 1,0200,+13,71.000000 
 1,0200,+16,97.000000 
 1,0200,+19,93.000000 
 1,0200,+22,95.000000 
 1,0200,+25,114.000000 
 1,0200,+28,100.000000 
 1,0200,+31,98.000000 
 1,0200,+34,120.000000 
 1,0200,+37,117.000000 
 1,0200,+40,113.000000 
 1,0200,+43,115.000000 
 1,0200,+46,93.000000 
 1,0200,+49,360.000000 
 1,0200,+52,356.000000 
 1,0200,+55,31.000000 
 1,0200,+58,25.000000 
 1,0200,+61,42.000000 
 1,0500,+4,107.000000 
 1,0500,+7,109.000000 
 1,0500,+10,71.000000 
 1,0500,+13,97.000000 
 1,0500,+16,93.000000 
 1,0500,+19,95.000000 
 1,0500,+22,114.000000 
 1,0500,+25,100.000000 
 1,0500,+28,98.000000 
 1,0500,+31,120.000000 
 1,0500,+34,117.000000 
 1,0500,+37,113.000000 
 1,0500,+40,115.000000 
 1,0500,+43,93.000000 
 1,0500,+46,360.000000 
 1,0500,+49,356.000000 
 1,0500,+52,31.000000 
 1,0500,+55,25.000000 
 1,0500,+58,42.000000 
 1,0800,+4,103.000000 
 1,0800,+7,70.000000 
 1,0800,+10,96.000000 
 1,0800,+13,95.000000 
 1,0800,+16,86.000000 
 1,0800,+19,111.000000 
 1,0800,+22,112.000000 
 1,0800,+25,108.000000 
 1,0800,+28,115.000000 
 1,0800,+31,123.000000 
 1,0800,+34,82.000000 
 1,0800,+37,103.000000 
 1,0800,+40,107.000000 
 1,0800,+43,129.000000 
 1,0800,+46,54.000000 
 1,0800,+49,59.000000 
 1,0800,+52,48.000000 
 1,0800,+55,31.000000 
 1,1100,+4,70.000000 
 1,1100,+7,96.000000 
 1,1100,+10,95.000000 
 1,1100,+13,86.000000 
 1,1100,+16,111.000000 
 1,1100,+19,112.000000 
 1,1100,+22,108.000000 
 1,1100,+25,115.000000 
 1,1100,+28,123.000000 
 1,1100,+31,82.000000 
 1,1100,+34,103.000000 
 1,1100,+37,107.000000 
 1,1100,+40,129.000000 
 1,1100,+43,54.000000 
 1,1100,+46,59.000000 
 1,1100,+49,48.000000 
 1,1100,+52,31.000000 
 1,1400,+4,96.000000 
 1,1400,+7,95.000000 
 1,1400,+10,86.000000 
 1,1400,+13,111.000000 
 1,1400,+16,112.000000 
 1,1400,+19,108.000000 
 1,1400,+22,115.000000 
 1,1400,+25,123.000000 
 1,1400,+28,82.000000 
 1,1400,+31,103.000000 
