 format: day,hour,forecast,value  location:102_83 Start : 20210401 
 1,0200,+4,17.000000 
 1,0200,+7,15.000000 
 1,0200,+10,14.000000 
 1,0200,+13,14.000000 
 1,0200,+16,14.000000 
 1,0200,+19,13.000000 
 1,0200,+22,16.000000 
 1,0200,+25,18.000000 
 1,0200,+28,18.000000 
 1,0200,+31,16.000000 
 1,0200,+34,14.000000 
 1,0200,+37,14.000000 
 1,0200,+40,13.000000 
 1,0200,+43,14.000000 
 1,0200,+46,16.000000 
 1,0200,+49,20.000000 
 1,0200,+52,20.000000 
 1,0200,+55,18.000000 
 1,0200,+58,17.000000 
 1,0200,+61,17.000000 
 1,0500,+4,15.000000 
 1,0500,+7,14.000000 
 1,0500,+10,14.000000 
 1,0500,+13,14.000000 
 1,0500,+16,13.000000 
 1,0500,+19,16.000000 
 1,0500,+22,18.000000 
 1,0500,+25,18.000000 
 1,0500,+28,16.000000 
 1,0500,+31,14.000000 
 1,0500,+34,14.000000 
 1,0500,+37,13.000000 
 1,0500,+40,14.000000 
 1,0500,+43,16.000000 
 1,0500,+46,20.000000 
 1,0500,+49,20.000000 
 1,0500,+52,18.000000 
 1,0500,+55,17.000000 
 1,0500,+58,17.000000 
 1,0800,+4,14.000000 
 1,0800,+7,14.000000 
 1,0800,+10,13.000000 
 1,0800,+13,13.000000 
 1,0800,+16,16.000000 
 1,0800,+19,18.000000 
 1,0800,+22,17.000000 
 1,0800,+25,16.000000 
 1,0800,+28,14.000000 
 1,0800,+31,13.000000 
 1,0800,+34,13.000000 
 1,0800,+37,13.000000 
 1,0800,+40,17.000000 
 1,0800,+43,19.000000 
 1,0800,+46,18.000000 
 1,0800,+49,17.000000 
 1,0800,+52,17.000000 
 1,0800,+55,17.000000 
 1,1100,+4,14.000000 
 1,1100,+7,13.000000 
 1,1100,+10,13.000000 
 1,1100,+13,16.000000 
 1,1100,+16,18.000000 
 1,1100,+19,17.000000 
 1,1100,+22,16.000000 
 1,1100,+25,14.000000 
 1,1100,+28,13.000000 
 1,1100,+31,13.000000 
 1,1100,+34,13.000000 
 1,1100,+37,17.000000 
 1,1100,+40,19.000000 
 1,1100,+43,18.000000 
 1,1100,+46,17.000000 
 1,1100,+49,17.000000 
 1,1100,+52,17.000000 
 1,1400,+4,13.000000 
 1,1400,+7,13.000000 
 1,1400,+10,16.000000 
 1,1400,+13,18.000000 
 1,1400,+16,17.000000 
 1,1400,+19,16.000000 
 1,1400,+22,14.000000 
 1,1400,+25,13.000000 
 1,1400,+28,13.000000 
 1,1400,+31,13.000000 
 1,1400,+34,17.000000 
 1,1400,+37,19.000000 
 1,1400,+40,18.000000 
 1,1400,+43,17.000000 
 1,1400,+46,17.000000 
 1,1400,+49,17.000000 
 1,1700,+4,13.000000 
 1,1700,+7,16.000000 
 1,1700,+10,18.000000 
 1,1700,+13,17.000000 
 1,1700,+16,16.000000 
 1,1700,+19,14.000000 
 1,1700,+22,13.000000 
 1,1700,+25,13.000000 
 1,1700,+28,13.000000 
 1,1700,+31,17.000000 
 1,1700,+34,19.000000 
 1,1700,+37,18.000000 
 1,1700,+40,17.000000 
 1,1700,+43,17.000000 
 1,1700,+46,17.000000 
 1,2000,+4,16.000000 
 1,2000,+7,17.000000 
 1,2000,+10,18.000000 
 1,2000,+13,16.000000 
 1,2000,+16,14.000000 
 1,2000,+19,13.000000 
 1,2000,+22,14.000000 
 1,2000,+25,14.000000 
 1,2000,+28,17.000000 
 1,2000,+31,19.000000 
 1,2000,+34,18.000000 
 1,2000,+37,17.000000 
 1,2000,+40,17.000000 
 1,2000,+43,17.000000 
 1,2000,+46,16.000000 
 1,2000,+49,15.000000 
 1,2000,+52,13.000000 
 1,2000,+55,12.000000 
 1,2000,+58,12.000000 
 1,2000,+61,11.000000 
 1,2000,+64,11.000000 
 1,2000,+67,10.000000 
 1,2300,+4,17.000000 
 1,2300,+7,18.000000 
 1,2300,+10,16.000000 
 1,2300,+13,14.000000 
 1,2300,+16,13.000000 
 1,2300,+19,14.000000 
 1,2300,+22,14.000000 
 1,2300,+25,17.000000 
 1,2300,+28,19.000000 
 1,2300,+31,18.000000 
 1,2300,+34,17.000000 
 1,2300,+37,17.000000 
 1,2300,+40,17.000000 
 1,2300,+43,16.000000 
 1,2300,+46,15.000000 
 1,2300,+49,13.000000 
 1,2300,+52,12.000000 
 1,2300,+55,12.000000 
 1,2300,+58,11.000000 
 1,2300,+61,11.000000 
 1,2300,+64,10.000000 
 2,0200,+4,18.000000 
 2,0200,+7,16.000000 
 2,0200,+10,14.000000 
 2,0200,+13,13.000000 
 2,0200,+16,14.000000 
 2,0200,+19,14.000000 
 2,0200,+22,17.000000 
 2,0200,+25,19.000000 
 2,0200,+28,18.000000 
 2,0200,+31,17.000000 
 2,0200,+34,17.000000 
 2,0200,+37,17.000000 
 2,0200,+40,16.000000 
 2,0200,+43,15.000000 
 2,0200,+46,13.000000 
 2,0200,+49,12.000000 
 2,0200,+52,12.000000 
 2,0200,+55,11.000000 
 2,0200,+58,11.000000 
 2,0200,+61,10.000000 
 2,0500,+4,16.000000 
 2,0500,+7,14.000000 
 2,0500,+10,13.000000 
 2,0500,+13,14.000000 
 2,0500,+16,14.000000 
 2,0500,+19,17.000000 
 2,0500,+22,19.000000 
 2,0500,+25,18.000000 
 2,0500,+28,17.000000 
 2,0500,+31,17.000000 
 2,0500,+34,17.000000 
 2,0500,+37,16.000000 
 2,0500,+40,15.000000 
 2,0500,+43,13.000000 
 2,0500,+46,12.000000 
 2,0500,+49,12.000000 
 2,0500,+52,11.000000 
 2,0500,+55,11.000000 
 2,0500,+58,10.000000 
 2,0800,+4,14.000000 
 2,0800,+7,14.000000 
 2,0800,+10,14.000000 
 2,0800,+13,14.000000 
 2,0800,+16,17.000000 
 2,0800,+19,19.000000 
 2,0800,+22,18.000000 
 2,0800,+25,17.000000 
 2,0800,+28,17.000000 
 2,0800,+31,18.000000 
 2,0800,+34,17.000000 
 2,0800,+37,15.000000 
 2,0800,+40,13.000000 
 2,0800,+43,12.000000 
 2,0800,+46,11.000000 
 2,0800,+49,10.000000 
 2,0800,+52,10.000000 
 2,0800,+55,9.000000 
 2,1100,+4,14.000000 
 2,1100,+7,14.000000 
 2,1100,+10,14.000000 
 2,1100,+13,17.000000 
 2,1100,+16,19.000000 
 2,1100,+19,18.000000 
 2,1100,+22,17.000000 
 2,1100,+25,17.000000 
 2,1100,+28,18.000000 
 2,1100,+31,17.000000 
 2,1100,+34,15.000000 
 2,1100,+37,13.000000 
 2,1100,+40,12.000000 
 2,1100,+43,11.000000 
 2,1100,+46,10.000000 
 2,1100,+49,10.000000 
 2,1100,+52,9.000000 
 2,1400,+4,14.000000 
 2,1400,+7,14.000000 
 2,1400,+10,17.000000 
 2,1400,+13,19.000000 
 2,1400,+16,18.000000 
 2,1400,+19,17.000000 
 2,1400,+22,17.000000 
 2,1400,+25,18.000000 
 2,1400,+28,17.000000 
 2,1400,+31,15.000000 
 2,1400,+34,13.000000 
 2,1400,+37,12.000000 
 2,1400,+40,11.000000 
 2,1400,+43,10.000000 
 2,1400,+46,10.000000 
 2,1400,+49,9.000000 
 2,1700,+4,14.000000 
 2,1700,+7,17.000000 
 2,1700,+10,19.000000 
 2,1700,+13,18.000000 
 2,1700,+16,17.000000 
 2,1700,+19,17.000000 
 2,1700,+22,18.000000 
 2,1700,+25,17.000000 
 2,1700,+28,15.000000 
 2,1700,+31,13.000000 
 2,1700,+34,12.000000 
 2,1700,+37,11.000000 
