 format: day,hour,forecast,value  location:102_83 Start : 20210501 
 1,0200,+4,304.000000 
 1,0200,+7,293.000000 
 1,0200,+10,256.000000 
 1,0200,+13,267.000000 
 1,0200,+16,300.000000 
 1,0200,+19,290.000000 
 1,0200,+22,326.000000 
 1,0200,+25,357.000000 
 1,0200,+28,25.000000 
 1,0200,+31,172.000000 
 1,0200,+34,212.000000 
 1,0200,+37,236.000000 
 1,0200,+40,293.000000 
 1,0200,+43,287.000000 
 1,0200,+46,243.000000 
 1,0200,+49,226.000000 
 1,0200,+52,230.000000 
 1,0200,+55,216.000000 
 1,0200,+58,228.000000 
 1,0200,+61,241.000000 
 1,0500,+4,293.000000 
 1,0500,+7,256.000000 
 1,0500,+10,267.000000 
 1,0500,+13,300.000000 
 1,0500,+16,290.000000 
 1,0500,+19,326.000000 
 1,0500,+22,357.000000 
 1,0500,+25,25.000000 
 1,0500,+28,172.000000 
 1,0500,+31,212.000000 
 1,0500,+34,236.000000 
 1,0500,+37,293.000000 
 1,0500,+40,287.000000 
 1,0500,+43,243.000000 
 1,0500,+46,226.000000 
 1,0500,+49,230.000000 
 1,0500,+52,216.000000 
 1,0500,+55,228.000000 
 1,0500,+58,241.000000 
 1,0800,+4,268.000000 
 1,0800,+7,275.000000 
 1,0800,+10,289.000000 
 1,0800,+13,293.000000 
 1,0800,+16,320.000000 
 1,0800,+19,357.000000 
 1,0800,+22,35.000000 
 1,0800,+25,125.000000 
 1,0800,+28,210.000000 
 1,0800,+31,234.000000 
 1,0800,+34,261.000000 
 1,0800,+37,270.000000 
 1,0800,+40,236.000000 
 1,0800,+43,216.000000 
 1,0800,+46,210.000000 
 1,0800,+49,213.000000 
 1,0800,+52,230.000000 
 1,0800,+55,235.000000 
 1,1100,+4,275.000000 
 1,1100,+7,289.000000 
 1,1100,+10,293.000000 
 1,1100,+13,320.000000 
 1,1100,+16,357.000000 
 1,1100,+19,35.000000 
 1,1100,+22,125.000000 
 1,1100,+25,210.000000 
 1,1100,+28,234.000000 
 1,1100,+31,261.000000 
 1,1100,+34,270.000000 
 1,1100,+37,236.000000 
 1,1100,+40,216.000000 
 1,1100,+43,210.000000 
 1,1100,+46,213.000000 
 1,1100,+49,230.000000 
 1,1100,+52,235.000000 
 1,1400,+4,289.000000 
 1,1400,+7,293.000000 
 1,1400,+10,320.000000 
 1,1400,+13,357.000000 
 1,1400,+16,35.000000 
 1,1400,+19,125.000000 
 1,1400,+22,210.000000 
 1,1400,+25,234.000000 
 1,1400,+28,261.000000 
 1,1400,+31,270.000000 
 1,1400,+34,236.000000 
 1,1400,+37,216.000000 
 1,1400,+40,210.000000 
 1,1400,+43,213.000000 
 1,1400,+46,230.000000 
 1,1400,+49,235.000000 
 1,1700,+4,293.000000 
 1,1700,+7,320.000000 
 1,1700,+10,357.000000 
 1,1700,+13,35.000000 
 1,1700,+16,125.000000 
 1,1700,+19,210.000000 
 1,1700,+22,234.000000 
 1,1700,+25,261.000000 
 1,1700,+28,270.000000 
 1,1700,+31,236.000000 
 1,1700,+34,216.000000 
 1,1700,+37,210.000000 
 1,1700,+40,213.000000 
 1,1700,+43,230.000000 
 1,1700,+46,235.000000 
 1,2000,+4,331.000000 
 1,2000,+7,7.000000 
 1,2000,+10,21.000000 
 1,2000,+13,171.000000 
 1,2000,+16,214.000000 
 1,2000,+19,243.000000 
 1,2000,+22,263.000000 
 1,2000,+25,270.000000 
 1,2000,+28,251.000000 
 1,2000,+31,226.000000 
 1,2000,+34,208.000000 
 1,2000,+37,215.000000 
 1,2000,+40,226.000000 
 1,2000,+43,236.000000 
 1,2000,+46,225.000000 
 1,2000,+49,215.000000 
 1,2000,+52,211.000000 
 1,2000,+55,209.000000 
 1,2000,+58,208.000000 
 1,2000,+61,203.000000 
 1,2000,+64,181.000000 
 1,2000,+67,153.000000 
 1,2300,+4,7.000000 
 1,2300,+7,21.000000 
 1,2300,+10,171.000000 
 1,2300,+13,214.000000 
 1,2300,+16,243.000000 
 1,2300,+19,263.000000 
 1,2300,+22,270.000000 
 1,2300,+25,251.000000 
 1,2300,+28,226.000000 
 1,2300,+31,208.000000 
 1,2300,+34,215.000000 
 1,2300,+37,226.000000 
 1,2300,+40,236.000000 
 1,2300,+43,225.000000 
 1,2300,+46,215.000000 
 1,2300,+49,211.000000 
 1,2300,+52,209.000000 
 1,2300,+55,208.000000 
 1,2300,+58,203.000000 
 1,2300,+61,181.000000 
 1,2300,+64,153.000000 
 2,0200,+4,21.000000 
 2,0200,+7,171.000000 
 2,0200,+10,214.000000 
 2,0200,+13,243.000000 
 2,0200,+16,263.000000 
 2,0200,+19,270.000000 
 2,0200,+22,251.000000 
 2,0200,+25,226.000000 
 2,0200,+28,208.000000 
 2,0200,+31,215.000000 
 2,0200,+34,226.000000 
 2,0200,+37,236.000000 
 2,0200,+40,225.000000 
 2,0200,+43,215.000000 
 2,0200,+46,211.000000 
 2,0200,+49,209.000000 
 2,0200,+52,208.000000 
 2,0200,+55,203.000000 
 2,0200,+58,181.000000 
 2,0200,+61,153.000000 
 2,0500,+4,171.000000 
 2,0500,+7,214.000000 
 2,0500,+10,243.000000 
 2,0500,+13,263.000000 
 2,0500,+16,270.000000 
 2,0500,+19,251.000000 
 2,0500,+22,226.000000 
 2,0500,+25,208.000000 
 2,0500,+28,215.000000 
 2,0500,+31,226.000000 
 2,0500,+34,236.000000 
 2,0500,+37,225.000000 
 2,0500,+40,215.000000 
 2,0500,+43,211.000000 
 2,0500,+46,209.000000 
 2,0500,+49,208.000000 
 2,0500,+52,203.000000 
 2,0500,+55,181.000000 
 2,0500,+58,153.000000 
 2,0800,+4,207.000000 
 2,0800,+7,241.000000 
 2,0800,+10,282.000000 
 2,0800,+13,283.000000 
 2,0800,+16,257.000000 
 2,0800,+19,232.000000 
 2,0800,+22,216.000000 
 2,0800,+25,221.000000 
 2,0800,+28,229.000000 
 2,0800,+31,230.000000 
 2,0800,+34,217.000000 
 2,0800,+37,219.000000 
 2,0800,+40,212.000000 
 2,0800,+43,213.000000 
 2,0800,+46,207.000000 
 2,0800,+49,196.000000 
 2,0800,+52,176.000000 
 2,0800,+55,153.000000 
 2,1100,+4,241.000000 
 2,1100,+7,282.000000 
 2,1100,+10,283.000000 
 2,1100,+13,257.000000 
 2,1100,+16,232.000000 
 2,1100,+19,216.000000 
 2,1100,+22,221.000000 
 2,1100,+25,229.000000 
 2,1100,+28,230.000000 
 2,1100,+31,217.000000 
 2,1100,+34,219.000000 
 2,1100,+37,212.000000 
 2,1100,+40,213.000000 
 2,1100,+43,207.000000 
 2,1100,+46,196.000000 
 2,1100,+49,176.000000 
 2,1100,+52,153.000000 
 2,1400,+4,282.000000 
 2,1400,+7,283.000000 
 2,1400,+10,257.000000 
 2,1400,+13,232.000000 
 2,1400,+16,216.000000 
 2,1400,+19,221.000000 
 2,1400,+22,229.000000 
 2,1400,+25,230.000000 
 2,1400,+28,217.000000 
 2,1400,+31,219.000000 
 2,1400,+34,212.000000 
 2,1400,+37,213.000000 
 2,1400,+40,207.000000 
 2,1400,+43,196.000000 
 2,1400,+46,176.000000 
 2,1400,+49,153.000000 
 2,1700,+4,283.000000 
 2,1700,+7,257.000000 
 2,1700,+10,232.000000 
 2,1700,+13,216.000000 
 2,1700,+16,221.000000 
 2,1700,+19,229.000000 
 2,1700,+22,230.000000 
 2,1700,+25,217.000000 
 2,1700,+28,219.000000 
 2,1700,+31,212.000000 
 2,1700,+34,213.000000 
 2,1700,+37,207.000000 
 2,1700,+40,196.000000 
 2,1700,+43,176.000000 
 2,1700,+46,153.000000 
 2,2000,+4,252.000000 
 2,2000,+7,235.000000 
 2,2000,+10,216.000000 
 2,2000,+13,220.000000 
 2,2000,+16,225.000000 
 2,2000,+19,238.000000 
 2,2000,+22,226.000000 
 2,2000,+25,210.000000 
 2,2000,+28,207.000000 
 2,2000,+31,210.000000 
 2,2000,+34,208.000000 
 2,2000,+37,180.000000 
 2,2000,+40,167.000000 
 2,2000,+43,170.000000 
 2,2000,+46,210.000000 
 2,2000,+49,299.000000 
 2,2000,+52,279.000000 
 2,2000,+55,269.000000 
 2,2000,+58,278.000000 
 2,2000,+61,275.000000 
 2,2000,+64,262.000000 
 2,2000,+67,292.000000 
 2,2300,+4,235.000000 
 2,2300,+7,216.000000 
 2,2300,+10,220.000000 
 2,2300,+13,225.000000 
 2,2300,+16,238.000000 
 2,2300,+19,226.000000 
 2,2300,+22,210.000000 
 2,2300,+25,207.000000 
 2,2300,+28,210.000000 
 2,2300,+31,208.000000 
 2,2300,+34,180.000000 
 2,2300,+37,167.000000 
 2,2300,+40,170.000000 
 2,2300,+43,210.000000 
 2,2300,+46,299.000000 
 2,2300,+49,279.000000 
 2,2300,+52,269.000000 
 2,2300,+55,278.000000 
 2,2300,+58,275.000000 
 2,2300,+61,262.000000 
 2,2300,+64,292.000000 
 3,0200,+4,216.000000 
 3,0200,+7,220.000000 
 3,0200,+10,225.000000 
 3,0200,+13,238.000000 
 3,0200,+16,226.000000 
 3,0200,+19,210.000000 
 3,0200,+22,207.000000 
 3,0200,+25,210.000000 
 3,0200,+28,208.000000 
 3,0200,+31,180.000000 
 3,0200,+34,167.000000 
 3,0200,+37,170.000000 
 3,0200,+40,210.000000 
 3,0200,+43,299.000000 
 3,0200,+46,279.000000 
 3,0200,+49,269.000000 
 3,0200,+52,278.000000 
 3,0200,+55,275.000000 
 3,0200,+58,262.000000 
 3,0200,+61,292.000000 
 3,0500,+4,220.000000 
 3,0500,+7,225.000000 
 3,0500,+10,238.000000 
 3,0500,+13,226.000000 
 3,0500,+16,210.000000 
 3,0500,+19,207.000000 
 3,0500,+22,210.000000 
 3,0500,+25,208.000000 
 3,0500,+28,180.000000 
 3,0500,+31,167.000000 
 3,0500,+34,170.000000 
 3,0500,+37,210.000000 
 3,0500,+40,299.000000 
 3,0500,+43,279.000000 
 3,0500,+46,269.000000 
 3,0500,+49,278.000000 
 3,0500,+52,275.000000 
 3,0500,+55,262.000000 
 3,0500,+58,292.000000 
 3,0800,+4,224.000000 
 3,0800,+7,237.000000 
 3,0800,+10,226.000000 
 3,0800,+13,218.000000 
 3,0800,+16,205.000000 
 3,0800,+19,209.000000 
 3,0800,+22,204.000000 
 3,0800,+25,185.000000 
 3,0800,+28,169.000000 
 3,0800,+31,165.000000 
 3,0800,+34,213.000000 
 3,0800,+37,285.000000 
 3,0800,+40,270.000000 
 3,0800,+43,239.000000 
 3,0800,+46,270.000000 
 3,0800,+49,273.000000 
 3,0800,+52,275.000000 
 3,0800,+55,288.000000 
 3,1100,+4,237.000000 
 3,1100,+7,226.000000 
 3,1100,+10,218.000000 
 3,1100,+13,205.000000 
 3,1100,+16,209.000000 
 3,1100,+19,204.000000 
 3,1100,+22,185.000000 
 3,1100,+25,169.000000 
 3,1100,+28,165.000000 
 3,1100,+31,213.000000 
 3,1100,+34,285.000000 
 3,1100,+37,270.000000 
 3,1100,+40,239.000000 
 3,1100,+43,270.000000 
 3,1100,+46,273.000000 
 3,1100,+49,275.000000 
 3,1100,+52,288.000000 
 3,1400,+4,226.000000 
 3,1400,+7,218.000000 
 3,1400,+10,205.000000 
 3,1400,+13,209.000000 
 3,1400,+16,204.000000 
 3,1400,+19,185.000000 
 3,1400,+22,169.000000 
 3,1400,+25,165.000000 
 3,1400,+28,213.000000 
 3,1400,+31,285.000000 
 3,1400,+34,270.000000 
 3,1400,+37,239.000000 
 3,1400,+40,270.000000 
 3,1400,+43,273.000000 
 3,1400,+46,275.000000 
 3,1400,+49,288.000000 
 3,1700,+4,218.000000 
 3,1700,+7,205.000000 
 3,1700,+10,209.000000 
 3,1700,+13,204.000000 
 3,1700,+16,185.000000 
 3,1700,+19,169.000000 
 3,1700,+22,165.000000 
 3,1700,+25,213.000000 
 3,1700,+28,285.000000 
 3,1700,+31,270.000000 
 3,1700,+34,239.000000 
 3,1700,+37,270.000000 
 3,1700,+40,273.000000 
 3,1700,+43,275.000000 
 3,1700,+46,288.000000 
 3,2000,+4,203.000000 
 3,2000,+7,204.000000 
 3,2000,+10,207.000000 
 3,2000,+13,186.000000 
 3,2000,+16,172.000000 
 3,2000,+19,164.000000 
 3,2000,+22,210.000000 
 3,2000,+25,301.000000 
 3,2000,+28,289.000000 
 3,2000,+31,248.000000 
 3,2000,+34,264.000000 
 3,2000,+37,268.000000 
 3,2000,+40,283.000000 
 3,2000,+43,306.000000 
 3,2000,+46,291.000000 
 3,2000,+49,270.000000 
 3,2000,+52,209.000000 
 3,2000,+55,196.000000 
 3,2000,+58,196.000000 
 3,2000,+61,201.000000 
 3,2000,+64,211.000000 
 3,2000,+67,217.000000 
 3,2300,+4,204.000000 
 3,2300,+7,207.000000 
 3,2300,+10,186.000000 
 3,2300,+13,172.000000 
 3,2300,+16,164.000000 
 3,2300,+19,210.000000 
 3,2300,+22,301.000000 
 3,2300,+25,289.000000 
 3,2300,+28,248.000000 
 3,2300,+31,264.000000 
 3,2300,+34,268.000000 
 3,2300,+37,283.000000 
 3,2300,+40,306.000000 
 3,2300,+43,291.000000 
 3,2300,+46,270.000000 
 3,2300,+49,209.000000 
 3,2300,+52,196.000000 
 3,2300,+55,196.000000 
 3,2300,+58,201.000000 
 3,2300,+61,211.000000 
 3,2300,+64,217.000000 
 4,0200,+4,207.000000 
 4,0200,+7,186.000000 
 4,0200,+10,172.000000 
 4,0200,+13,164.000000 
 4,0200,+16,210.000000 
 4,0200,+19,301.000000 
 4,0200,+22,289.000000 
 4,0200,+25,248.000000 
 4,0200,+28,264.000000 
 4,0200,+31,268.000000 
 4,0200,+34,283.000000 
 4,0200,+37,306.000000 
 4,0200,+40,291.000000 
 4,0200,+43,270.000000 
 4,0200,+46,209.000000 
 4,0200,+49,196.000000 
 4,0200,+52,196.000000 
 4,0200,+55,201.000000 
 4,0200,+58,211.000000 
 4,0200,+61,217.000000 
 4,0500,+4,186.000000 
 4,0500,+7,172.000000 
 4,0500,+10,164.000000 
 4,0500,+13,210.000000 
 4,0500,+16,301.000000 
 4,0500,+19,289.000000 
 4,0500,+22,248.000000 
 4,0500,+25,264.000000 
 4,0500,+28,268.000000 
 4,0500,+31,283.000000 
 4,0500,+34,306.000000 
 4,0500,+37,291.000000 
 4,0500,+40,270.000000 
 4,0500,+43,209.000000 
 4,0500,+46,196.000000 
 4,0500,+49,196.000000 
 4,0500,+52,201.000000 
 4,0500,+55,211.000000 
 4,0500,+58,217.000000 
 4,0800,+4,179.000000 
 4,0800,+7,175.000000 
 4,0800,+10,218.000000 
 4,0800,+13,297.000000 
 4,0800,+16,298.000000 
 4,0800,+19,270.000000 
 4,0800,+22,261.000000 
 4,0800,+25,278.000000 
 4,0800,+28,293.000000 
 4,0800,+31,312.000000 
 4,0800,+34,307.000000 
 4,0800,+37,282.000000 
 4,0800,+40,231.000000 
 4,0800,+43,199.000000 
 4,0800,+46,198.000000 
