Forecast time,forecast,Temperature,Humidity,WindSpeed,WindDirection,Cloud
2021-07-01 17:00:00,1,28,60,1.4,295,1
2021-07-01 17:00:00,2,27,70,0.3,315,1
2021-07-01 17:00:00,3,25,70,0.2,333,3
2021-07-01 17:00:00,4,24,70,0.6,18,3
2021-07-01 17:00:00,5,23,80,1.5,23,1
2021-07-01 17:00:00,6,22,80,1.2,42,1
2021-07-01 17:00:00,7,22,85,1.4,39,1
2021-07-01 17:00:00,8,22,85,1.8,63,1
2021-07-01 17:00:00,9,21,85,1.7,66,1
2021-07-01 17:00:00,10,21,85,1.9,62,1
2021-07-01 17:00:00,11,20,85,1.9,65,1
2021-07-01 17:00:00,12,20,85,1.8,71,3
2021-07-01 17:00:00,13,20,85,2,70,3
2021-07-01 17:00:00,14,20,90,1.9,96,1
2021-07-01 17:00:00,15,21,85,1.8,87,1
2021-07-01 17:00:00,16,22,80,3.1,96,1
2021-07-01 17:00:00,17,24,75,2.5,90,3
2021-07-01 17:00:00,18,25,70,2.8,64,3
2021-07-01 17:00:00,19,26,65,2.7,84,3
2021-07-01 17:00:00,20,27,60,2.4,88,3
2021-07-01 17:00:00,21,28,60,3.1,81,3
2021-07-01 17:00:00,22,28,55,3.3,83,1
2021-07-01 17:00:00,23,28,55,3.3,81,1
2021-07-01 17:00:00,24,28,55,3.4,75,1
2021-07-01 17:00:00,25,28,60,3.4,69,1
2021-07-01 17:00:00,26,27,65,2.5,67,1
2021-07-01 17:00:00,27,25,65,3,62,1
2021-07-01 17:00:00,28,24,70,3.3,63,1
2021-07-01 17:00:00,29,23,70,2.9,65,1
2021-07-01 17:00:00,30,22,75,2.2,66,1
2021-07-01 17:00:00,31,21,80,2.7,66,1
2021-07-01 17:00:00,32,21,80,2.7,66,3
2021-07-01 17:00:00,33,20,80,1.7,73,3
2021-07-01 17:00:00,34,20,80,2.6,72,3
2021-07-01 17:00:00,35,19,80,1.6,90,3
2021-07-01 17:00:00,36,19,80,2.2,90,3
2021-07-01 17:00:00,37,19,85,2.9,78,3
2021-07-01 17:00:00,38,20,85,3.7,85,4
2021-07-01 17:00:00,39,21,80,4,91,4
2021-07-01 17:00:00,40,22,75,4.6,90,4
2021-07-01 17:00:00,41,23,75,5.1,93,4
2021-07-01 17:00:00,42,24,70,4.9,107,4
2021-07-01 17:00:00,43,25,70,6.1,103,4
2021-07-01 17:00:00,44,25,65,6.5,103,4
2021-07-01 17:00:00,45,25,65,6.6,108,4
2021-07-01 17:00:00,46,25,65,6.5,108,4
2021-07-01 17:00:00,47,24,65,5.5,110,4
2021-07-01 17:00:00,48,23,75,5.4,97,4
2021-07-01 17:00:00,49,23,80,6.4,94,4
2021-07-01 17:00:00,50,22,80,6.9,91,4
2021-07-01 17:00:00,51,21,80,6.2,98,4
2021-07-01 17:00:00,52,20,85,5.6,101,4
2021-07-01 17:00:00,53,20,85,5.1,106,4
2021-07-01 17:00:00,54,20,85,5.2,114,4
2021-07-01 17:00:00,55,20,85,5.6,126,4
2021-07-01 17:00:00,56,20,85,5.6,147,4
2021-07-01 17:00:00,57,20,85,4.8,158,4
2021-07-01 17:00:00,58,20,85,4.5,181,4
2021-07-01 17:00:00,59,20,85,5.1,174,4
2021-07-01 17:00:00,60,20,85,5.3,172,4
2021-07-01 17:00:00,61,20,85,5.8,187,4
2021-07-01 17:00:00,62,19,90,5.9,187,4
2021-07-01 17:00:00,63,20,85,5.6,192,4
2021-07-01 17:00:00,64,20,90,5.5,196,4
2021-07-01 17:00:00,65,21,90,5.6,203,4
2021-07-01 17:00:00,66,21,85,5.4,214,4
2021-07-01 17:00:00,67,22,85,5.2,221,4
2021-07-01 17:00:00,68,23,80,4.9,225,4
2021-07-01 17:00:00,69,22,90,4.5,226,4
2021-07-01 17:00:00,70,22,85,4.5,231,4
2021-07-01 17:00:00,71,21,90,4.2,234,4
2021-07-01 17:00:00,72,22,85,3.6,228,4
2021-07-01 17:00:00,73,22,80,3.5,224,4
2021-07-01 17:00:00,74,22,80,2.8,206,4
2021-07-01 17:00:00,75,21,85,2.7,204,3
2021-07-01 17:00:00,76,20,85,2.5,203,1
2021-07-01 17:00:00,77,20,90,2.2,214,1
2021-07-01 17:00:00,78,19,90,1.9,216,1
2021-07-01 17:00:00,79,19,90,1.8,207,1
2021-07-01 20:00:00,1,24,70,0.6,18,3
2021-07-01 20:00:00,2,23,80,1.5,23,1
2021-07-01 20:00:00,3,22,80,1.2,42,1
2021-07-01 20:00:00,4,22,85,1.4,39,1
2021-07-01 20:00:00,5,22,85,1.8,63,1
2021-07-01 20:00:00,6,21,85,1.7,66,1
2021-07-01 20:00:00,7,21,85,1.9,62,1
2021-07-01 20:00:00,8,20,85,1.9,65,1
2021-07-01 20:00:00,9,20,85,1.8,71,3
2021-07-01 20:00:00,10,20,85,2,70,3
2021-07-01 20:00:00,11,20,90,1.9,96,1
2021-07-01 20:00:00,12,21,85,1.8,87,1
2021-07-01 20:00:00,13,22,80,3.1,96,1
2021-07-01 20:00:00,14,24,75,2.5,90,3
2021-07-01 20:00:00,15,25,70,2.8,64,3
2021-07-01 20:00:00,16,26,65,2.7,84,3
2021-07-01 20:00:00,17,27,60,2.4,88,3
2021-07-01 20:00:00,18,28,60,3.1,81,3
2021-07-01 20:00:00,19,28,55,3.3,83,1
2021-07-01 20:00:00,20,28,55,3.3,81,1
2021-07-01 20:00:00,21,28,55,3.4,75,1
2021-07-01 20:00:00,22,28,60,3.4,69,1
2021-07-01 20:00:00,23,27,65,2.5,67,1
2021-07-01 20:00:00,24,25,65,3,62,1
2021-07-01 20:00:00,25,24,70,3.3,63,1
2021-07-01 20:00:00,26,23,70,2.9,65,1
2021-07-01 20:00:00,27,22,75,2.2,66,1
2021-07-01 20:00:00,28,21,80,2.7,66,1
2021-07-01 20:00:00,29,21,80,2.7,66,3
2021-07-01 20:00:00,30,20,80,1.7,73,3
2021-07-01 20:00:00,31,20,80,2.6,72,3
2021-07-01 20:00:00,32,19,80,1.6,90,3
2021-07-01 20:00:00,33,19,80,2.2,90,3
2021-07-01 20:00:00,34,19,85,2.9,78,3
2021-07-01 20:00:00,35,20,85,3.7,85,4
2021-07-01 20:00:00,36,21,80,4,91,4
2021-07-01 20:00:00,37,22,75,4.6,90,4
2021-07-01 20:00:00,38,23,75,5.1,93,4
2021-07-01 20:00:00,39,24,70,4.9,107,4
2021-07-01 20:00:00,40,25,70,6.1,103,4
2021-07-01 20:00:00,41,25,65,6.5,103,4
2021-07-01 20:00:00,42,25,65,6.6,108,4
2021-07-01 20:00:00,43,25,65,6.5,108,4
2021-07-01 20:00:00,44,24,65,5.5,110,4
2021-07-01 20:00:00,45,23,75,5.4,97,4
2021-07-01 20:00:00,46,23,80,6.4,94,4
2021-07-01 20:00:00,47,22,80,6.9,91,4
2021-07-01 20:00:00,48,21,80,6.2,98,4
2021-07-01 20:00:00,49,20,85,5.6,101,4
2021-07-01 20:00:00,50,20,85,5.1,106,4
2021-07-01 20:00:00,51,20,85,5.2,114,4
2021-07-01 20:00:00,52,20,85,5.6,126,4
2021-07-01 20:00:00,53,20,85,5.6,147,4
2021-07-01 20:00:00,54,20,85,4.8,158,4
2021-07-01 20:00:00,55,20,85,4.5,181,4
2021-07-01 20:00:00,56,20,85,5.1,174,4
2021-07-01 20:00:00,57,20,85,5.3,172,4
2021-07-01 20:00:00,58,20,85,5.8,187,4
2021-07-01 20:00:00,59,19,90,5.9,187,4
2021-07-01 20:00:00,60,20,85,5.6,192,4
2021-07-01 20:00:00,61,20,90,5.5,196,4
2021-07-01 20:00:00,62,21,90,5.6,203,4
2021-07-01 20:00:00,63,21,85,5.4,214,4
2021-07-01 20:00:00,64,22,85,5.2,221,4
2021-07-01 20:00:00,65,23,80,4.9,225,4
2021-07-01 20:00:00,66,22,90,4.5,226,4
2021-07-01 20:00:00,67,22,85,4.5,231,4
2021-07-01 20:00:00,68,21,90,4.2,234,4
2021-07-01 20:00:00,69,22,85,3.6,228,4
2021-07-01 20:00:00,70,22,80,3.5,224,4
2021-07-01 20:00:00,71,22,80,2.8,206,4
2021-07-01 20:00:00,72,21,85,2.7,204,3
2021-07-01 20:00:00,73,20,85,2.5,203,1
2021-07-01 20:00:00,74,20,90,2.2,214,1
2021-07-01 20:00:00,75,19,90,1.9,216,1
2021-07-01 20:00:00,76,19,90,1.8,207,1
2021-07-01 23:00:00,1,22,85,1.4,39,1
2021-07-01 23:00:00,2,22,85,1.8,63,1
2021-07-01 23:00:00,3,21,85,1.7,66,1
2021-07-01 23:00:00,4,21,85,1.9,62,1
2021-07-01 23:00:00,5,20,85,1.9,65,1
2021-07-01 23:00:00,6,20,85,1.8,71,3
2021-07-01 23:00:00,7,20,85,2,70,3
2021-07-01 23:00:00,8,20,90,1.9,96,1
2021-07-01 23:00:00,9,21,85,1.8,87,1
2021-07-01 23:00:00,10,22,80,3.1,96,1
2021-07-01 23:00:00,11,24,75,2.5,90,3
2021-07-01 23:00:00,12,25,70,2.8,64,3
2021-07-01 23:00:00,13,26,65,2.7,84,3
2021-07-01 23:00:00,14,27,60,2.4,88,3
2021-07-01 23:00:00,15,28,60,3.1,81,3
2021-07-01 23:00:00,16,28,55,3.3,83,1
2021-07-01 23:00:00,17,28,55,3.3,81,1
2021-07-01 23:00:00,18,28,55,3.4,75,1
2021-07-01 23:00:00,19,28,60,3.4,69,1
2021-07-01 23:00:00,20,27,65,2.5,67,1
2021-07-01 23:00:00,21,25,65,3,62,1
2021-07-01 23:00:00,22,24,70,3.3,63,1
2021-07-01 23:00:00,23,23,70,2.9,65,1
2021-07-01 23:00:00,24,22,75,2.2,66,1
2021-07-01 23:00:00,25,21,80,2.7,66,1
2021-07-01 23:00:00,26,21,80,2.7,66,3
2021-07-01 23:00:00,27,20,80,1.7,73,3
2021-07-01 23:00:00,28,20,80,2.6,72,3
2021-07-01 23:00:00,29,19,80,1.6,90,3
2021-07-01 23:00:00,30,19,80,2.2,90,3
2021-07-01 23:00:00,31,19,85,2.9,78,3
2021-07-01 23:00:00,32,20,85,3.7,85,4
2021-07-01 23:00:00,33,21,80,4,91,4
2021-07-01 23:00:00,34,22,75,4.6,90,4
2021-07-01 23:00:00,35,23,75,5.1,93,4
2021-07-01 23:00:00,36,24,70,4.9,107,4
2021-07-01 23:00:00,37,25,70,6.1,103,4
2021-07-01 23:00:00,38,25,65,6.5,103,4
2021-07-01 23:00:00,39,25,65,6.6,108,4
2021-07-01 23:00:00,40,25,65,6.5,108,4
2021-07-01 23:00:00,41,24,65,5.5,110,4
2021-07-01 23:00:00,42,23,75,5.4,97,4
2021-07-01 23:00:00,43,23,80,6.4,94,4
2021-07-01 23:00:00,44,22,80,6.9,91,4
2021-07-01 23:00:00,45,21,80,6.2,98,4
2021-07-01 23:00:00,46,20,85,5.6,101,4
2021-07-01 23:00:00,47,20,85,5.1,106,4
2021-07-01 23:00:00,48,20,85,5.2,114,4
2021-07-01 23:00:00,49,20,85,5.6,126,4
2021-07-01 23:00:00,50,20,85,5.6,147,4
2021-07-01 23:00:00,51,20,85,4.8,158,4
2021-07-01 23:00:00,52,20,85,4.5,181,4
2021-07-01 23:00:00,53,20,85,5.1,174,4
2021-07-01 23:00:00,54,20,85,5.3,172,4
2021-07-01 23:00:00,55,20,85,5.8,187,4
2021-07-01 23:00:00,56,19,90,5.9,187,4
2021-07-01 23:00:00,57,20,85,5.6,192,4
2021-07-01 23:00:00,58,20,90,5.5,196,4
2021-07-01 23:00:00,59,21,90,5.6,203,4
2021-07-01 23:00:00,60,21,85,5.4,214,4
2021-07-01 23:00:00,61,22,85,5.2,221,4
2021-07-01 23:00:00,62,23,80,4.9,225,4
2021-07-01 23:00:00,63,22,90,4.5,226,4
2021-07-01 23:00:00,64,22,85,4.5,231,4
2021-07-01 23:00:00,65,21,90,4.2,234,4
2021-07-01 23:00:00,66,22,85,3.6,228,4
2021-07-01 23:00:00,67,22,80,3.5,224,4
2021-07-01 23:00:00,68,22,80,2.8,206,4
2021-07-01 23:00:00,69,21,85,2.7,204,3
2021-07-01 23:00:00,70,20,85,2.5,203,1
2021-07-01 23:00:00,71,20,90,2.2,214,1
2021-07-01 23:00:00,72,19,90,1.9,216,1
2021-07-01 23:00:00,73,19,90,1.8,207,1
2021-07-02 02:00:00,1,21,85,1.9,62,1
2021-07-02 02:00:00,2,20,85,1.9,65,1
2021-07-02 02:00:00,3,20,85,1.8,71,3
2021-07-02 02:00:00,4,20,85,2,70,3
2021-07-02 02:00:00,5,20,90,1.9,96,1
2021-07-02 02:00:00,6,21,85,1.8,87,1
2021-07-02 02:00:00,7,22,80,3.1,96,1
2021-07-02 02:00:00,8,24,75,2.5,90,3
2021-07-02 02:00:00,9,25,70,2.8,64,3
2021-07-02 02:00:00,10,26,65,2.7,84,3
2021-07-02 02:00:00,11,27,60,2.4,88,3
2021-07-02 02:00:00,12,28,60,3.1,81,3
2021-07-02 02:00:00,13,28,55,3.3,83,1
2021-07-02 02:00:00,14,28,55,3.3,81,1
2021-07-02 02:00:00,15,28,55,3.4,75,1
2021-07-02 02:00:00,16,28,60,3.4,69,1
2021-07-02 02:00:00,17,27,65,2.5,67,1
2021-07-02 02:00:00,18,25,65,3,62,1
2021-07-02 02:00:00,19,24,70,3.3,63,1
2021-07-02 02:00:00,20,23,70,2.9,65,1
2021-07-02 02:00:00,21,22,75,2.2,66,1
2021-07-02 02:00:00,22,21,80,2.7,66,1
2021-07-02 02:00:00,23,21,80,2.7,66,3
2021-07-02 02:00:00,24,20,80,1.7,73,3
2021-07-02 02:00:00,25,20,80,2.6,72,3
2021-07-02 02:00:00,26,19,80,1.6,90,3
2021-07-02 02:00:00,27,19,80,2.2,90,3
2021-07-02 02:00:00,28,19,85,2.9,78,3
2021-07-02 02:00:00,29,20,85,3.7,85,4
2021-07-02 02:00:00,30,21,80,4,91,4
2021-07-02 02:00:00,31,22,75,4.6,90,4
2021-07-02 02:00:00,32,23,75,5.1,93,4
2021-07-02 02:00:00,33,24,70,4.9,107,4
2021-07-02 02:00:00,34,25,70,6.1,103,4
2021-07-02 02:00:00,35,25,65,6.5,103,4
2021-07-02 02:00:00,36,25,65,6.6,108,4
2021-07-02 02:00:00,37,25,65,6.5,108,4
2021-07-02 02:00:00,38,24,65,5.5,110,4
2021-07-02 02:00:00,39,23,75,5.4,97,4
2021-07-02 02:00:00,40,23,80,6.4,94,4
2021-07-02 02:00:00,41,22,80,6.9,91,4
2021-07-02 02:00:00,42,21,80,6.2,98,4
2021-07-02 02:00:00,43,20,85,5.6,101,4
2021-07-02 02:00:00,44,20,85,5.1,106,4
2021-07-02 02:00:00,45,20,85,5.2,114,4
2021-07-02 02:00:00,46,20,85,5.6,126,4
2021-07-02 02:00:00,47,20,85,5.6,147,4
2021-07-02 02:00:00,48,20,85,4.8,158,4
2021-07-02 02:00:00,49,20,85,4.5,181,4
2021-07-02 02:00:00,50,20,85,5.1,174,4
2021-07-02 02:00:00,51,20,85,5.3,172,4
2021-07-02 02:00:00,52,20,85,5.8,187,4
2021-07-02 02:00:00,53,19,90,5.9,187,4
2021-07-02 02:00:00,54,20,85,5.6,192,4
2021-07-02 02:00:00,55,20,90,5.5,196,4
2021-07-02 02:00:00,56,21,90,5.6,203,4
2021-07-02 02:00:00,57,21,85,5.4,214,4
2021-07-02 02:00:00,58,22,85,5.2,221,4
2021-07-02 02:00:00,59,23,80,4.9,225,4
2021-07-02 02:00:00,60,22,90,4.5,226,4
2021-07-02 02:00:00,61,22,85,4.5,231,4
2021-07-02 02:00:00,62,21,90,4.2,234,4
2021-07-02 02:00:00,63,22,85,3.6,228,4
2021-07-02 02:00:00,64,22,80,3.5,224,4
2021-07-02 02:00:00,65,22,80,2.8,206,4
2021-07-02 02:00:00,66,21,85,2.7,204,3
2021-07-02 02:00:00,67,20,85,2.5,203,1
2021-07-02 02:00:00,68,20,90,2.2,214,1
2021-07-02 02:00:00,69,19,90,1.9,216,1
2021-07-02 02:00:00,70,19,90,1.8,207,1
2021-07-02 05:00:00,1,20,85,2.2,77,3
2021-07-02 05:00:00,2,20,90,2.4,42,1
2021-07-02 05:00:00,3,21,85,2.6,86,1
2021-07-02 05:00:00,4,22,80,2.6,118,1
2021-07-02 05:00:00,5,24,75,2.5,95,3
2021-07-02 05:00:00,6,24,75,2.2,69,3
2021-07-02 05:00:00,7,25,70,2.4,54,3
2021-07-02 05:00:00,8,26,65,2.2,66,3
2021-07-02 05:00:00,9,27,65,2.4,83,3
2021-07-02 05:00:00,10,27,65,2.5,85,1
2021-07-02 05:00:00,11,27,60,2.6,83,1
2021-07-02 05:00:00,12,28,60,2.8,77,1
2021-07-02 05:00:00,13,27,60,3.2,77,1
2021-07-02 05:00:00,14,26,65,2.4,73,1
2021-07-02 05:00:00,15,24,70,2.7,66,1
2021-07-02 05:00:00,16,23,70,2.7,70,1
