Forecast time,forecast,Temperature,Humidity,WindSpeed,WindDirection,Cloud
2021-07-01 17:00:00,1,26,70,3.6,37,3
2021-07-01 17:00:00,2,25,75,3.2,32,1
2021-07-01 17:00:00,3,24,80,3.1,25,1
2021-07-01 17:00:00,4,23,80,3,17,1
2021-07-01 17:00:00,5,23,85,2.7,8,1
2021-07-01 17:00:00,6,23,90,2.7,4,1
2021-07-01 17:00:00,7,22,90,2.9,2,1
2021-07-01 17:00:00,8,22,90,2.8,6,1
2021-07-01 17:00:00,9,23,85,3,4,1
2021-07-01 17:00:00,10,22,90,2.8,10,1
2021-07-01 17:00:00,11,22,90,2.9,360,1
2021-07-01 17:00:00,12,22,85,3.3,7,3
2021-07-01 17:00:00,13,22,85,3.5,3,3
2021-07-01 17:00:00,14,23,80,3.6,10,3
2021-07-01 17:00:00,15,24,80,3.6,21,4
2021-07-01 17:00:00,16,25,75,3.9,31,4
2021-07-01 17:00:00,17,25,75,4.2,27,4
2021-07-01 17:00:00,18,25,70,4.2,25,4
2021-07-01 17:00:00,19,26,70,4.3,21,4
2021-07-01 17:00:00,20,26,70,4.3,22,4
2021-07-01 17:00:00,21,27,70,4.4,30,4
2021-07-01 17:00:00,22,27,70,4.5,33,3
2021-07-01 17:00:00,23,26,75,4.5,34,3
2021-07-01 17:00:00,24,25,75,4.2,33,3
2021-07-01 17:00:00,25,25,80,4.3,31,3
2021-07-01 17:00:00,26,24,80,4.1,28,4
2021-07-01 17:00:00,27,24,85,3.8,27,4
2021-07-01 17:00:00,28,24,85,3.4,26,4
2021-07-01 17:00:00,29,24,85,3.4,23,4
2021-07-01 17:00:00,30,24,85,3,24,4
2021-07-01 17:00:00,31,23,85,2.5,26,4
2021-07-01 17:00:00,32,23,90,2.9,29,4
2021-07-01 17:00:00,33,23,90,2.4,33,4
2021-07-01 17:00:00,34,23,90,2.5,43,4
2021-07-01 17:00:00,35,23,90,2.6,47,4
2021-07-01 17:00:00,36,23,90,2.6,47,4
2021-07-01 17:00:00,37,23,90,2.6,58,4
2021-07-01 17:00:00,38,24,85,2.6,54,4
2021-07-01 17:00:00,39,24,85,3,70,4
2021-07-01 17:00:00,40,24,85,2.8,67,4
2021-07-01 17:00:00,41,25,80,3.1,59,4
2021-07-01 17:00:00,42,25,75,3.1,68,4
2021-07-01 17:00:00,43,25,75,3,73,4
2021-07-01 17:00:00,44,25,80,2.9,72,4
2021-07-01 17:00:00,45,24,80,2.5,79,4
2021-07-01 17:00:00,46,24,80,2.8,84,4
2021-07-01 17:00:00,47,24,85,2.8,82,4
2021-07-01 17:00:00,48,23,90,2.4,92,4
2021-07-01 17:00:00,49,23,95,2.1,90,4
2021-07-01 17:00:00,50,23,90,1.8,103,4
2021-07-01 17:00:00,51,23,90,1.9,125,4
2021-07-01 17:00:00,52,23,90,2.1,139,4
2021-07-01 17:00:00,53,24,90,2.6,155,4
2021-07-01 17:00:00,54,24,90,3.5,175,4
2021-07-01 17:00:00,55,25,90,4.3,184,4
2021-07-01 17:00:00,56,25,90,4.9,180,4
2021-07-01 17:00:00,57,25,90,5.9,188,4
2021-07-01 17:00:00,58,26,90,6.2,190,4
2021-07-01 17:00:00,59,26,90,6.6,196,4
2021-07-01 17:00:00,60,26,90,7,197,4
2021-07-01 17:00:00,61,26,90,6.5,199,4
2021-07-01 17:00:00,62,26,90,6.4,201,4
2021-07-01 17:00:00,63,26,85,6.2,203,4
2021-07-01 17:00:00,64,26,90,6,204,4
2021-07-01 17:00:00,65,27,90,6.1,205,4
2021-07-01 17:00:00,66,26,90,5.7,211,4
2021-07-01 17:00:00,67,26,90,5.1,207,4
2021-07-01 17:00:00,68,26,90,4.7,222,4
2021-07-01 17:00:00,69,27,85,4.2,213,4
2021-07-01 17:00:00,70,27,85,5,213,4
2021-07-01 17:00:00,71,28,80,5.4,214,4
2021-07-01 17:00:00,72,27,80,4.9,215,4
2021-07-01 17:00:00,73,26,85,3.8,209,3
2021-07-01 17:00:00,74,26,85,3.5,215,3
2021-07-01 17:00:00,75,26,85,3.5,224,3
2021-07-01 17:00:00,76,25,85,3.5,221,3
2021-07-01 17:00:00,77,25,85,3.2,224,3
2021-07-01 17:00:00,78,25,85,2.7,225,3
2021-07-01 17:00:00,79,24,90,2.6,227,1
2021-07-01 20:00:00,1,23,80,3,17,1
2021-07-01 20:00:00,2,23,85,2.7,8,1
2021-07-01 20:00:00,3,23,90,2.7,4,1
2021-07-01 20:00:00,4,22,90,2.9,2,1
2021-07-01 20:00:00,5,22,90,2.8,6,1
2021-07-01 20:00:00,6,23,85,3,4,1
2021-07-01 20:00:00,7,22,90,2.8,10,1
2021-07-01 20:00:00,8,22,90,2.9,360,1
2021-07-01 20:00:00,9,22,85,3.3,7,3
2021-07-01 20:00:00,10,22,85,3.5,3,3
2021-07-01 20:00:00,11,23,80,3.6,10,3
2021-07-01 20:00:00,12,24,80,3.6,21,4
2021-07-01 20:00:00,13,25,75,3.9,31,4
2021-07-01 20:00:00,14,25,75,4.2,27,4
2021-07-01 20:00:00,15,25,70,4.2,25,4
2021-07-01 20:00:00,16,26,70,4.3,21,4
2021-07-01 20:00:00,17,26,70,4.3,22,4
2021-07-01 20:00:00,18,27,70,4.4,30,4
