 format: day,hour,forecast,value  location:53_114 Start : 20201201 
 1,0200,+4,352.000000 
 1,0200,+7,12.000000 
 1,0200,+10,27.000000 
 1,0200,+13,22.000000 
 1,0200,+16,24.000000 
 1,0200,+19,14.000000 
 1,0200,+22,358.000000 
 1,0200,+25,3.000000 
 1,0200,+28,332.000000 
 1,0200,+31,352.000000 
 1,0200,+34,358.000000 
 1,0200,+37,17.000000 
 1,0200,+40,358.000000 
 1,0200,+43,359.000000 
 1,0200,+46,347.000000 
 1,0200,+49,331.000000 
 1,0200,+52,333.000000 
 1,0200,+55,342.000000 
 1,0200,+58,340.000000 
 1,0200,+61,354.000000 
 1,0500,+4,12.000000 
 1,0500,+7,27.000000 
 1,0500,+10,22.000000 
 1,0500,+13,24.000000 
 1,0500,+16,14.000000 
 1,0500,+19,358.000000 
 1,0500,+22,3.000000 
 1,0500,+25,332.000000 
 1,0500,+28,352.000000 
 1,0500,+31,358.000000 
 1,0500,+34,17.000000 
 1,0500,+37,358.000000 
 1,0500,+40,359.000000 
 1,0500,+43,347.000000 
 1,0500,+46,331.000000 
 1,0500,+49,333.000000 
 1,0500,+52,342.000000 
 1,0500,+55,340.000000 
 1,0500,+58,354.000000 
 1,0800,+4,28.000000 
 1,0800,+7,17.000000 
 1,0800,+10,16.000000 
 1,0800,+13,8.000000 
 1,0800,+16,20.000000 
 1,0800,+19,357.000000 
 1,0800,+22,344.000000 
 1,0800,+25,352.000000 
 1,0800,+28,356.000000 
 1,0800,+31,336.000000 
 1,0800,+34,338.000000 
 1,0800,+37,349.000000 
 1,0800,+40,351.000000 
 1,0800,+43,333.000000 
 1,0800,+46,330.000000 
 1,0800,+49,337.000000 
 1,0800,+52,339.000000 
 1,0800,+55,344.000000 
 1,1100,+4,17.000000 
 1,1100,+7,16.000000 
 1,1100,+10,8.000000 
 1,1100,+13,20.000000 
 1,1100,+16,357.000000 
 1,1100,+19,344.000000 
 1,1100,+22,352.000000 
 1,1100,+25,356.000000 
 1,1100,+28,336.000000 
 1,1100,+31,338.000000 
 1,1100,+34,349.000000 
 1,1100,+37,351.000000 
 1,1100,+40,333.000000 
 1,1100,+43,330.000000 
 1,1100,+46,337.000000 
 1,1100,+49,339.000000 
 1,1100,+52,344.000000 
 1,1400,+4,16.000000 
