 format: day,hour,forecast,value  location:53_114 Start : 20210601 
 1,0200,+4,25.000000 
 1,0200,+7,22.000000 
 1,0200,+10,20.000000 
 1,0200,+13,19.000000 
 1,0200,+16,17.000000 
 1,0200,+19,17.000000 
 1,0200,+22,23.000000 
 1,0200,+25,27.000000 
 1,0200,+28,28.000000 
 1,0200,+31,25.000000 
 1,0200,+34,21.000000 
 1,0200,+37,20.000000 
 1,0200,+40,19.000000 
 1,0200,+43,18.000000 
 1,0200,+46,21.000000 
 1,0200,+49,22.000000 
 1,0200,+52,19.000000 
 1,0200,+55,19.000000 
 1,0200,+58,17.000000 
 1,0200,+61,16.000000 
 1,0500,+4,22.000000 
 1,0500,+7,20.000000 
 1,0500,+10,19.000000 
 1,0500,+13,17.000000 
 1,0500,+16,17.000000 
 1,0500,+19,23.000000 
 1,0500,+22,27.000000 
 1,0500,+25,28.000000 
 1,0500,+28,25.000000 
 1,0500,+31,21.000000 
 1,0500,+34,20.000000 
 1,0500,+37,19.000000 
 1,0500,+40,18.000000 
 1,0500,+43,21.000000 
 1,0500,+46,22.000000 
 1,0500,+49,19.000000 
 1,0500,+52,19.000000 
 1,0500,+55,17.000000 
 1,0500,+58,16.000000 
 1,0800,+4,20.000000 
 1,0800,+7,19.000000 
 1,0800,+10,17.000000 
 1,0800,+13,17.000000 
 1,0800,+16,22.000000 
 1,0800,+19,27.000000 
 1,0800,+22,28.000000 
 1,0800,+25,25.000000 
 1,0800,+28,21.000000 
 1,0800,+31,19.000000 
 1,0800,+34,18.000000 
 1,0800,+37,18.000000 
 1,0800,+40,21.000000 
 1,0800,+43,22.000000 
 1,0800,+46,20.000000 
 1,0800,+49,18.000000 
 1,0800,+52,17.000000 
 1,0800,+55,16.000000 
 1,1100,+4,19.000000 
 1,1100,+7,17.000000 
 1,1100,+10,17.000000 
 1,1100,+13,22.000000 
 1,1100,+16,27.000000 
 1,1100,+19,28.000000 
 1,1100,+22,25.000000 
 1,1100,+25,21.000000 
 1,1100,+28,19.000000 
 1,1100,+31,18.000000 
 1,1100,+34,18.000000 
 1,1100,+37,21.000000 
 1,1100,+40,22.000000 
 1,1100,+43,20.000000 
 1,1100,+46,18.000000 
 1,1100,+49,17.000000 
 1,1100,+52,16.000000 
 1,1400,+4,17.000000 
 1,1400,+7,17.000000 
 1,1400,+10,22.000000 
 1,1400,+13,27.000000 
