 format: day,hour,forecast,value  location:53_114 Start : 20210201 
 1,0200,+4,287.000000 
 1,0200,+7,306.000000 
 1,0200,+10,319.000000 
 1,0200,+13,324.000000 
 1,0200,+16,325.000000 
 1,0200,+19,324.000000 
 1,0200,+22,327.000000 
 1,0200,+25,319.000000 
 1,0200,+28,309.000000 
 1,0200,+31,303.000000 
 1,0200,+34,310.000000 
 1,0200,+37,341.000000 
 1,0200,+40,5.000000 
 1,0200,+43,99.000000 
 1,0200,+46,134.000000 
 1,0200,+49,193.000000 
 1,0200,+52,220.000000 
 1,0200,+55,183.000000 
 1,0200,+58,183.000000 
 1,0200,+61,226.000000 
 1,0500,+4,306.000000 
 1,0500,+7,319.000000 
 1,0500,+10,324.000000 
 1,0500,+13,325.000000 
 1,0500,+16,324.000000 
 1,0500,+19,327.000000 
 1,0500,+22,319.000000 
 1,0500,+25,309.000000 
 1,0500,+28,303.000000 
 1,0500,+31,310.000000 
 1,0500,+34,341.000000 
 1,0500,+37,5.000000 
 1,0500,+40,99.000000 
 1,0500,+43,134.000000 
 1,0500,+46,193.000000 
 1,0500,+49,220.000000 
 1,0500,+52,183.000000 
 1,0500,+55,183.000000 
 1,0500,+58,226.000000 
 1,0800,+4,323.000000 
 1,0800,+7,328.000000 
 1,0800,+10,327.000000 
 1,0800,+13,326.000000 
 1,0800,+16,325.000000 
 1,0800,+19,317.000000 
 1,0800,+22,308.000000 
 1,0800,+25,304.000000 
 1,0800,+28,324.000000 
 1,0800,+31,340.000000 
 1,0800,+34,333.000000 
 1,0800,+37,24.000000 
 1,0800,+40,113.000000 
 1,0800,+43,189.000000 
 1,0800,+46,217.000000 
 1,0800,+49,182.000000 
 1,0800,+52,175.000000 
 1,0800,+55,200.000000 
 1,1100,+4,328.000000 
 1,1100,+7,327.000000 
 1,1100,+10,326.000000 
 1,1100,+13,325.000000 
 1,1100,+16,317.000000 
 1,1100,+19,308.000000 
 1,1100,+22,304.000000 
 1,1100,+25,324.000000 
 1,1100,+28,340.000000 
 1,1100,+31,333.000000 
 1,1100,+34,24.000000 
 1,1100,+37,113.000000 
 1,1100,+40,189.000000 
 1,1100,+43,217.000000 
 1,1100,+46,182.000000 
 1,1100,+49,175.000000 
 1,1100,+52,200.000000 
 1,1400,+4,327.000000 
 1,1400,+7,326.000000 
 1,1400,+10,325.000000 
 1,1400,+13,317.000000 
 1,1400,+16,308.000000 
 1,1400,+19,304.000000 
 1,1400,+22,324.000000 
 1,1400,+25,340.000000 
 1,1400,+28,333.000000 
 1,1400,+31,24.000000 
 1,1400,+34,113.000000 
 1,1400,+37,189.000000 
 1,1400,+40,217.000000 
 1,1400,+43,182.000000 
 1,1400,+46,175.000000 
 1,1400,+49,200.000000 
 1,1700,+4,326.000000 
 1,1700,+7,325.000000 
 1,1700,+10,317.000000 
 1,1700,+13,308.000000 
 1,1700,+16,304.000000 
 1,1700,+19,324.000000 
 1,1700,+22,340.000000 
 1,1700,+25,333.000000 
 1,1700,+28,24.000000 
 1,1700,+31,113.000000 
 1,1700,+34,189.000000 
 1,1700,+37,217.000000 
 1,1700,+40,182.000000 
 1,1700,+43,175.000000 
 1,1700,+46,200.000000 
 1,2000,+4,326.000000 
 1,2000,+7,319.000000 
 1,2000,+10,305.000000 
 1,2000,+13,304.000000 
 1,2000,+16,320.000000 
 1,2000,+19,336.000000 
 1,2000,+22,328.000000 
 1,2000,+25,3.000000 
 1,2000,+28,96.000000 
 1,2000,+31,191.000000 
 1,2000,+34,222.000000 
 1,2000,+37,189.000000 
 1,2000,+40,164.000000 
 1,2000,+43,202.000000 
 1,2000,+46,337.000000 
 1,2000,+49,345.000000 
 1,2000,+52,353.000000 
 1,2000,+55,346.000000 
 1,2000,+58,307.000000 
 1,2000,+61,135.000000 
 1,2000,+64,177.000000 
 1,2000,+67,164.000000 
 1,2300,+4,319.000000 
 1,2300,+7,305.000000 
 1,2300,+10,304.000000 
 1,2300,+13,320.000000 
 1,2300,+16,336.000000 
 1,2300,+19,328.000000 
 1,2300,+22,3.000000 
 1,2300,+25,96.000000 
 1,2300,+28,191.000000 
 1,2300,+31,222.000000 
 1,2300,+34,189.000000 
 1,2300,+37,164.000000 
 1,2300,+40,202.000000 
 1,2300,+43,337.000000 
 1,2300,+46,345.000000 
 1,2300,+49,353.000000 
 1,2300,+52,346.000000 
 1,2300,+55,307.000000 
 1,2300,+58,135.000000 
 1,2300,+61,177.000000 
 1,2300,+64,164.000000 
 2,0200,+4,305.000000 
 2,0200,+7,304.000000 
 2,0200,+10,320.000000 
 2,0200,+13,336.000000 
 2,0200,+16,328.000000 
 2,0200,+19,3.000000 
 2,0200,+22,96.000000 
 2,0200,+25,191.000000 
 2,0200,+28,222.000000 
 2,0200,+31,189.000000 
 2,0200,+34,164.000000 
 2,0200,+37,202.000000 
 2,0200,+40,337.000000 
 2,0200,+43,345.000000 
 2,0200,+46,353.000000 
 2,0200,+49,346.000000 
 2,0200,+52,307.000000 
 2,0200,+55,135.000000 
 2,0200,+58,177.000000 
 2,0200,+61,164.000000 
 2,0500,+4,304.000000 
 2,0500,+7,320.000000 
 2,0500,+10,336.000000 
 2,0500,+13,328.000000 
 2,0500,+16,3.000000 
 2,0500,+19,96.000000 
 2,0500,+22,191.000000 
 2,0500,+25,222.000000 
 2,0500,+28,189.000000 
 2,0500,+31,164.000000 
 2,0500,+34,202.000000 
 2,0500,+37,337.000000 
 2,0500,+40,345.000000 
 2,0500,+43,353.000000 
 2,0500,+46,346.000000 
 2,0500,+49,307.000000 
 2,0500,+52,135.000000 
 2,0500,+55,177.000000 
 2,0500,+58,164.000000 
 2,0800,+4,158.000000 
 2,0800,+7,347.000000 
 2,0800,+10,325.000000 
 2,0800,+13,326.000000 
 2,0800,+16,129.000000 
 2,0800,+19,214.000000 
 2,0800,+22,214.000000 
 2,0800,+25,187.000000 
 2,0800,+28,213.000000 
 2,0800,+31,305.000000 
 2,0800,+34,341.000000 
 2,0800,+37,336.000000 
 2,0800,+40,345.000000 
 2,0800,+43,345.000000 
 2,0800,+46,319.000000 
 2,0800,+49,180.000000 
 2,0800,+52,174.000000 
 2,0800,+55,162.000000 
 2,1100,+4,347.000000 
 2,1100,+7,325.000000 
 2,1100,+10,326.000000 
 2,1100,+13,129.000000 
 2,1100,+16,214.000000 
 2,1100,+19,214.000000 
 2,1100,+22,187.000000 
 2,1100,+25,213.000000 
 2,1100,+28,305.000000 
 2,1100,+31,341.000000 
 2,1100,+34,336.000000 
 2,1100,+37,345.000000 
 2,1100,+40,345.000000 
 2,1100,+43,319.000000 
 2,1100,+46,180.000000 
 2,1100,+49,174.000000 
 2,1100,+52,162.000000 
 2,1400,+4,325.000000 
 2,1400,+7,326.000000 
 2,1400,+10,129.000000 
 2,1400,+13,214.000000 
 2,1400,+16,214.000000 
 2,1400,+19,187.000000 
 2,1400,+22,213.000000 
 2,1400,+25,305.000000 
 2,1400,+28,341.000000 
 2,1400,+31,336.000000 
 2,1400,+34,345.000000 
 2,1400,+37,345.000000 
 2,1400,+40,319.000000 
 2,1400,+43,180.000000 
 2,1400,+46,174.000000 
 2,1400,+49,162.000000 
 2,1700,+4,326.000000 
 2,1700,+7,129.000000 
 2,1700,+10,214.000000 
 2,1700,+13,214.000000 
 2,1700,+16,187.000000 
 2,1700,+19,213.000000 
 2,1700,+22,305.000000 
 2,1700,+25,341.000000 
 2,1700,+28,336.000000 
 2,1700,+31,345.000000 
 2,1700,+34,345.000000 
 2,1700,+37,319.000000 
 2,1700,+40,180.000000 
 2,1700,+43,174.000000 
 2,1700,+46,162.000000 
 2,2000,+4,170.000000 
 2,2000,+7,229.000000 
 2,2000,+10,222.000000 
 2,2000,+13,196.000000 
 2,2000,+16,181.000000 
 2,2000,+19,202.000000 
 2,2000,+22,338.000000 
 2,2000,+25,338.000000 
 2,2000,+28,347.000000 
 2,2000,+31,334.000000 
 2,2000,+34,320.000000 
 2,2000,+37,219.000000 
 2,2000,+40,183.000000 
 2,2000,+43,171.000000 
 2,2000,+46,159.000000 
 2,2000,+49,163.000000 
 2,2000,+52,187.000000 
 2,2000,+55,214.000000 
 2,2000,+58,209.000000 
 2,2000,+61,186.000000 
 2,2000,+64,188.000000 
 2,2000,+67,199.000000 
 2,2300,+4,229.000000 
 2,2300,+7,222.000000 
 2,2300,+10,196.000000 
 2,2300,+13,181.000000 
 2,2300,+16,202.000000 
 2,2300,+19,338.000000 
 2,2300,+22,338.000000 
 2,2300,+25,347.000000 
 2,2300,+28,334.000000 
