 format: day,hour,forecast,value  location:102_83 Start : 20210501 
 1,0200,+4,15.000000 
 1,0200,+7,15.000000 
 1,0200,+10,12.000000 
 1,0200,+13,11.000000 
 1,0200,+16,10.000000 
 1,0200,+19,10.000000 
 1,0200,+22,13.000000 
 1,0200,+25,17.000000 
 1,0200,+28,18.000000 
 1,0200,+31,16.000000 
 1,0200,+34,13.000000 
 1,0200,+37,12.000000 
 1,0200,+40,10.000000 
 1,0200,+43,9.000000 
 1,0200,+46,18.000000 
 1,0200,+49,21.000000 
 1,0200,+52,22.000000 
 1,0200,+55,20.000000 
 1,0200,+58,16.000000 
 1,0200,+61,14.000000 
 1,0500,+4,15.000000 
 1,0500,+7,12.000000 
 1,0500,+10,11.000000 
 1,0500,+13,10.000000 
 1,0500,+16,10.000000 
 1,0500,+19,13.000000 
 1,0500,+22,17.000000 
 1,0500,+25,18.000000 
 1,0500,+28,16.000000 
 1,0500,+31,13.000000 
 1,0500,+34,12.000000 
 1,0500,+37,10.000000 
 1,0500,+40,9.000000 
 1,0500,+43,18.000000 
 1,0500,+46,21.000000 
 1,0500,+49,22.000000 
 1,0500,+52,20.000000 
 1,0500,+55,16.000000 
 1,0500,+58,14.000000 
 1,0800,+4,13.000000 
 1,0800,+7,11.000000 
 1,0800,+10,10.000000 
 1,0800,+13,10.000000 
 1,0800,+16,13.000000 
 1,0800,+19,17.000000 
 1,0800,+22,18.000000 
 1,0800,+25,17.000000 
 1,0800,+28,13.000000 
 1,0800,+31,12.000000 
 1,0800,+34,10.000000 
 1,0800,+37,9.000000 
 1,0800,+40,18.000000 
 1,0800,+43,22.000000 
 1,0800,+46,22.000000 
 1,0800,+49,19.000000 
 1,0800,+52,16.000000 
 1,0800,+55,14.000000 
 1,1100,+4,11.000000 
 1,1100,+7,10.000000 
 1,1100,+10,10.000000 
 1,1100,+13,13.000000 
 1,1100,+16,17.000000 
 1,1100,+19,18.000000 
 1,1100,+22,17.000000 
 1,1100,+25,13.000000 
 1,1100,+28,12.000000 
 1,1100,+31,10.000000 
 1,1100,+34,9.000000 
 1,1100,+37,18.000000 
 1,1100,+40,22.000000 
 1,1100,+43,22.000000 
 1,1100,+46,19.000000 
 1,1100,+49,16.000000 
 1,1100,+52,14.000000 
 1,1400,+4,10.000000 
 1,1400,+7,10.000000 
 1,1400,+10,13.000000 
 1,1400,+13,17.000000 
 1,1400,+16,18.000000 
 1,1400,+19,17.000000 
 1,1400,+22,13.000000 
 1,1400,+25,12.000000 
 1,1400,+28,10.000000 
 1,1400,+31,9.000000 
 1,1400,+34,18.000000 
 1,1400,+37,22.000000 
 1,1400,+40,22.000000 
 1,1400,+43,19.000000 
 1,1400,+46,16.000000 
 1,1400,+49,14.000000 
 1,1700,+4,10.000000 
 1,1700,+7,13.000000 
 1,1700,+10,17.000000 
 1,1700,+13,18.000000 
 1,1700,+16,17.000000 
 1,1700,+19,13.000000 
 1,1700,+22,12.000000 
 1,1700,+25,10.000000 
 1,1700,+28,9.000000 
 1,1700,+31,18.000000 
 1,1700,+34,22.000000 
 1,1700,+37,22.000000 
 1,1700,+40,19.000000 
 1,1700,+43,16.000000 
 1,1700,+46,14.000000 
 1,2000,+4,13.000000 
 1,2000,+7,17.000000 
 1,2000,+10,19.000000 
 1,2000,+13,17.000000 
 1,2000,+16,14.000000 
 1,2000,+19,12.000000 
 1,2000,+22,10.000000 
 1,2000,+25,9.000000 
 1,2000,+28,18.000000 
 1,2000,+31,22.000000 
 1,2000,+34,22.000000 
 1,2000,+37,19.000000 
 1,2000,+40,16.000000 
 1,2000,+43,14.000000 
 1,2000,+46,14.000000 
