 format: day,hour,forecast,value  location:102_83 Start : 20210201 
 1,0200,+4,249.000000 
 1,0200,+7,234.000000 
 1,0200,+10,270.000000 
 1,0200,+13,310.000000 
 1,0200,+16,311.000000 
 1,0200,+19,312.000000 
 1,0200,+22,308.000000 
 1,0200,+25,308.000000 
 1,0200,+28,303.000000 
 1,0200,+31,297.000000 
 1,0200,+34,294.000000 
 1,0200,+37,294.000000 
 1,0200,+40,297.000000 
 1,0200,+43,305.000000 
 1,0200,+46,302.000000 
 1,0200,+49,288.000000 
 1,0200,+52,246.000000 
 1,0200,+55,216.000000 
 1,0200,+58,228.000000 
 1,0200,+61,230.000000 
 1,0500,+4,234.000000 
 1,0500,+7,270.000000 
 1,0500,+10,310.000000 
 1,0500,+13,311.000000 
 1,0500,+16,312.000000 
 1,0500,+19,308.000000 
 1,0500,+22,308.000000 
 1,0500,+25,303.000000 
 1,0500,+28,297.000000 
 1,0500,+31,294.000000 
 1,0500,+34,294.000000 
 1,0500,+37,297.000000 
 1,0500,+40,305.000000 
 1,0500,+43,302.000000 
 1,0500,+46,288.000000 
 1,0500,+49,246.000000 
 1,0500,+52,216.000000 
 1,0500,+55,228.000000 
 1,0500,+58,230.000000 
 1,0800,+4,258.000000 
 1,0800,+7,308.000000 
 1,0800,+10,311.000000 
 1,0800,+13,310.000000 
 1,0800,+16,309.000000 
 1,0800,+19,312.000000 
 1,0800,+22,302.000000 
 1,0800,+25,293.000000 
 1,0800,+28,291.000000 
 1,0800,+31,288.000000 
 1,0800,+34,291.000000 
 1,0800,+37,299.000000 
 1,0800,+40,306.000000 
 1,0800,+43,303.000000 
 1,0800,+46,281.000000 
 1,0800,+49,221.000000 
 1,0800,+52,243.000000 
 1,0800,+55,238.000000 
 1,1100,+4,308.000000 
 1,1100,+7,311.000000 
 1,1100,+10,310.000000 
 1,1100,+13,309.000000 
 1,1100,+16,312.000000 
 1,1100,+19,302.000000 
 1,1100,+22,293.000000 
 1,1100,+25,291.000000 
 1,1100,+28,288.000000 
 1,1100,+31,291.000000 
 1,1100,+34,299.000000 
 1,1100,+37,306.000000 
 1,1100,+40,303.000000 
 1,1100,+43,281.000000 
 1,1100,+46,221.000000 
 1,1100,+49,243.000000 
 1,1100,+52,238.000000 
 1,1400,+4,311.000000 
 1,1400,+7,310.000000 
 1,1400,+10,309.000000 
 1,1400,+13,312.000000 
 1,1400,+16,302.000000 
 1,1400,+19,293.000000 
 1,1400,+22,291.000000 
 1,1400,+25,288.000000 
 1,1400,+28,291.000000 
 1,1400,+31,299.000000 
 1,1400,+34,306.000000 
 1,1400,+37,303.000000 
 1,1400,+40,281.000000 
 1,1400,+43,221.000000 
 1,1400,+46,243.000000 
 1,1400,+49,238.000000 
 1,1700,+4,310.000000 
 1,1700,+7,309.000000 
 1,1700,+10,312.000000 
 1,1700,+13,302.000000 
 1,1700,+16,293.000000 
 1,1700,+19,291.000000 
 1,1700,+22,288.000000 
 1,1700,+25,291.000000 
 1,1700,+28,299.000000 
 1,1700,+31,306.000000 
 1,1700,+34,303.000000 
 1,1700,+37,281.000000 
 1,1700,+40,221.000000 
 1,1700,+43,243.000000 
 1,1700,+46,238.000000 
 1,2000,+4,307.000000 
 1,2000,+7,308.000000 
 1,2000,+10,300.000000 
 1,2000,+13,296.000000 
 1,2000,+16,289.000000 
 1,2000,+19,287.000000 
 1,2000,+22,299.000000 
 1,2000,+25,304.000000 
 1,2000,+28,310.000000 
 1,2000,+31,300.000000 
 1,2000,+34,285.000000 
 1,2000,+37,238.000000 
 1,2000,+40,236.000000 
 1,2000,+43,226.000000 
 1,2000,+46,229.000000 
 1,2000,+49,277.000000 
 1,2000,+52,307.000000 
 1,2000,+55,311.000000 
 1,2000,+58,309.000000 
 1,2000,+61,295.000000 
 1,2000,+64,285.000000 
 1,2000,+67,286.000000 
 1,2300,+4,308.000000 
 1,2300,+7,300.000000 
 1,2300,+10,296.000000 
 1,2300,+13,289.000000 
 1,2300,+16,287.000000 
 1,2300,+19,299.000000 
 1,2300,+22,304.000000 
 1,2300,+25,310.000000 
 1,2300,+28,300.000000 
 1,2300,+31,285.000000 
 1,2300,+34,238.000000 
 1,2300,+37,236.000000 
 1,2300,+40,226.000000 
 1,2300,+43,229.000000 
 1,2300,+46,277.000000 
 1,2300,+49,307.000000 
 1,2300,+52,311.000000 
 1,2300,+55,309.000000 
 1,2300,+58,295.000000 
 1,2300,+61,285.000000 
 1,2300,+64,286.000000 
 2,0200,+4,300.000000 
 2,0200,+7,296.000000 
 2,0200,+10,289.000000 
 2,0200,+13,287.000000 
 2,0200,+16,299.000000 
 2,0200,+19,304.000000 
 2,0200,+22,310.000000 
 2,0200,+25,300.000000 
 2,0200,+28,285.000000 
 2,0200,+31,238.000000 
 2,0200,+34,236.000000 
 2,0200,+37,226.000000 
 2,0200,+40,229.000000 
 2,0200,+43,277.000000 
 2,0200,+46,307.000000 
 2,0200,+49,311.000000 
 2,0200,+52,309.000000 
 2,0200,+55,295.000000 
 2,0200,+58,285.000000 
 2,0200,+61,286.000000 
 2,0500,+4,296.000000 
 2,0500,+7,289.000000 
 2,0500,+10,287.000000 
 2,0500,+13,299.000000 
 2,0500,+16,304.000000 
 2,0500,+19,310.000000 
 2,0500,+22,300.000000 
 2,0500,+25,285.000000 
 2,0500,+28,238.000000 
 2,0500,+31,236.000000 
 2,0500,+34,226.000000 
 2,0500,+37,229.000000 
 2,0500,+40,277.000000 
 2,0500,+43,307.000000 
 2,0500,+46,311.000000 
 2,0500,+49,309.000000 
 2,0500,+52,295.000000 
 2,0500,+55,285.000000 
 2,0500,+58,286.000000 
 2,0800,+4,297.000000 
 2,0800,+7,255.000000 
 2,0800,+10,266.000000 
 2,0800,+13,300.000000 
 2,0800,+16,304.000000 
 2,0800,+19,290.000000 
 2,0800,+22,277.000000 
 2,0800,+25,217.000000 
 2,0800,+28,228.000000 
 2,0800,+31,227.000000 
 2,0800,+34,234.000000 
 2,0800,+37,297.000000 
 2,0800,+40,312.000000 
 2,0800,+43,311.000000 
 2,0800,+46,305.000000 
 2,0800,+49,282.000000 
 2,0800,+52,290.000000 
 2,0800,+55,292.000000 
 2,1100,+4,255.000000 
 2,1100,+7,266.000000 
 2,1100,+10,300.000000 
 2,1100,+13,304.000000 
 2,1100,+16,290.000000 
 2,1100,+19,277.000000 
 2,1100,+22,217.000000 
 2,1100,+25,228.000000 
 2,1100,+28,227.000000 
 2,1100,+31,234.000000 
 2,1100,+34,297.000000 
 2,1100,+37,312.000000 
 2,1100,+40,311.000000 
 2,1100,+43,305.000000 
 2,1100,+46,282.000000 
 2,1100,+49,290.000000 
 2,1100,+52,292.000000 
 2,1400,+4,266.000000 
 2,1400,+7,300.000000 
 2,1400,+10,304.000000 
 2,1400,+13,290.000000 
 2,1400,+16,277.000000 
 2,1400,+19,217.000000 
 2,1400,+22,228.000000 
 2,1400,+25,227.000000 
 2,1400,+28,234.000000 
 2,1400,+31,297.000000 
 2,1400,+34,312.000000 
 2,1400,+37,311.000000 
 2,1400,+40,305.000000 
 2,1400,+43,282.000000 
 2,1400,+46,290.000000 
 2,1400,+49,292.000000 
 2,1700,+4,300.000000 
 2,1700,+7,304.000000 
 2,1700,+10,290.000000 
 2,1700,+13,277.000000 
 2,1700,+16,217.000000 
 2,1700,+19,228.000000 
 2,1700,+22,227.000000 
 2,1700,+25,234.000000 
 2,1700,+28,297.000000 
 2,1700,+31,312.000000 
 2,1700,+34,311.000000 
 2,1700,+37,305.000000 
 2,1700,+40,282.000000 
 2,1700,+43,290.000000 
 2,1700,+46,292.000000 
 2,2000,+4,306.000000 
 2,2000,+7,300.000000 
 2,2000,+10,290.000000 
 2,2000,+13,234.000000 
 2,2000,+16,234.000000 
 2,2000,+19,235.000000 
 2,2000,+22,232.000000 
 2,2000,+25,289.000000 
 2,2000,+28,311.000000 
 2,2000,+31,313.000000 
 2,2000,+34,306.000000 
 2,2000,+37,290.000000 
 2,2000,+40,290.000000 
 2,2000,+43,293.000000 
 2,2000,+46,301.000000 
 2,2000,+49,302.000000 
 2,2000,+52,274.000000 
