Forecast time,forecast,Temperature,rain,snow,Humidity,WindSpeed,WindDirection,Cloud
2021-12-01 11:00:00,4.0,1.0,,,55.0,2.7,360.0,4.0
2021-12-01 11:00:00,7.0,-1.0,1.0,1.0,75.0,2.3,7.0,4.0
2021-12-01 11:00:00,10.0,-2.0,,,65.0,1.8,29.0,4.0
2021-12-01 11:00:00,13.0,-3.0,0.0,0.0,60.0,2.6,29.0,4.0
2021-12-01 11:00:00,16.0,-4.0,,,55.0,4.3,29.0,4.0
2021-12-01 11:00:00,19.0,-5.0,0.0,0.0,55.0,3.0,37.0,4.0
2021-12-01 11:00:00,22.0,-5.0,,,50.0,2.7,27.0,4.0
2021-12-01 11:00:00,25.0,-3.0,0.0,0.0,45.0,4.4,335.0,3.0
2021-12-01 11:00:00,28.0,-3.0,,,45.0,5.8,321.0,1.0
2021-12-01 11:00:00,31.0,-4.0,0.0,0.0,50.0,4.0,313.0,1.0
2021-12-01 11:00:00,34.0,-4.0,,,50.0,5.1,327.0,1.0
2021-12-01 11:00:00,37.0,-5.0,0.0,0.0,55.0,5.2,337.0,1.0
2021-12-01 11:00:00,40.0,-5.0,,,60.0,4.2,348.0,4.0
2021-12-01 11:00:00,43.0,-6.0,0.0,0.0,65.0,3.2,4.0,4.0
2021-12-01 11:00:00,46.0,-5.0,,,55.0,4.0,3.0,4.0
2021-12-01 11:00:00,49.0,-3.0,0.0,0.0,45.0,5.3,347.0,4.0
2021-12-01 11:00:00,52.0,-2.0,,,40.0,5.0,340.0,3.0
2021-12-01 11:00:00,55.0,-4.0,0.0,0.0,50.0,2.5,358.0,3.0
2021-12-01 11:00:00,58.0,-4.0,,,55.0,1.7,50.0,1.0
2021-12-01 11:00:00,61.0,-5.0,0.0,0.0,65.0,1.4,86.0,1.0
2021-12-01 14:00:00,4.0,-1.0,1.0,1.0,75.0,2.3,7.0,4.0
2021-12-01 14:00:00,7.0,-2.0,,,65.0,1.8,29.0,4.0
2021-12-01 14:00:00,10.0,-3.0,0.0,0.0,60.0,2.6,29.0,4.0
