time,ulsan,dangjin_warehouse,dangjin_floating,dangjin
2015-01-01 1:00:00,0,0,0,0
2015-01-01 2:00:00,0,0,0,0
2015-01-01 3:00:00,0,0,0,0
2015-01-01 4:00:00,0,0,0,0
2015-01-01 5:00:00,0,0,0,0
2015-01-01 6:00:00,0,0,0,0
2015-01-01 7:00:00,0,0,0,0
2015-01-01 8:00:00,0,0,0,0
2015-01-01 9:00:00,0,12,18,8
2015-01-01 10:00:00,0,150,173,227
2015-01-01 11:00:00,0,195,276,263
2015-01-01 12:00:00,0,270,354,356
2015-01-01 13:00:00,0,254,382,333
2015-01-01 14:00:00,0,184,262,225
2015-01-01 15:00:00,0,131,239,199
2015-01-01 16:00:00,0,183,196,218
2015-01-01 17:00:00,0,53,60,44
2015-01-01 18:00:00,0,0,2,0
2015-01-01 19:00:00,0,0,0,0
2015-01-01 20:00:00,0,0,0,0
2015-01-01 21:00:00,0,0,0,0
2015-01-01 22:00:00,0,0,0,0
2015-01-01 23:00:00,0,0,0,0
2015-01-01 24:00:00,0,0,0,0
2015-02-01 1:00:00,0,0,0,0
2015-02-01 2:00:00,0,0,0,0
2015-02-01 3:00:00,0,0,0,0
2015-02-01 4:00:00,0,0,0,0
2015-02-01 5:00:00,0,0,0,0
2015-02-01 6:00:00,0,0,0,0
2015-02-01 7:00:00,0,0,0,0
2015-02-01 8:00:00,4,1,1,0
2015-02-01 9:00:00,71,54,102,94
2015-02-01 10:00:00,191,178,326,273
2015-02-01 11:00:00,282,346,512,438
2015-02-01 12:00:00,328,457,629,545
2015-02-01 13:00:00,348,505,654,598
2015-02-01 14:00:00,337,483,609,563
2015-02-01 15:00:00,294,477,579,554
2015-02-01 16:00:00,222,376,459,458
2015-02-01 17:00:00,90,188,174,212
2015-02-01 18:00:00,5,37,26,22
2015-02-01 19:00:00,0,0,0,0
2015-02-01 20:00:00,0,0,0,0
2015-02-01 21:00:00,0,0,0,0
2015-02-01 22:00:00,0,0,0,0
2015-02-01 23:00:00,0,0,0,0
2015-02-01 24:00:00,0,0,0,0
2015-02-02 1:00:00,0,0,0,0
2015-02-02 2:00:00,0,0,0,0
2015-02-02 3:00:00,0,0,0,0
2015-02-02 4:00:00,0,0,0,0
2015-02-02 5:00:00,0,0,0,0
2015-02-02 6:00:00,0,0,0,0
2015-02-02 7:00:00,0,0,0,0
2015-02-02 8:00:00,3,0,0,0
2015-02-02 9:00:00,61,27,41,28
2015-02-02 10:00:00,160,101,161,122
2015-02-02 11:00:00,216,147,214,175
2015-02-02 12:00:00,260,402,539,480
2015-02-02 13:00:00,193,480,620,554
2015-02-02 14:00:00,265,489,600,551
2015-02-02 15:00:00,188,451,550,517
2015-02-02 16:00:00,187,344,432,425
2015-02-02 17:00:00,77,161,171,193
2015-02-02 18:00:00,4,30,26,17
2015-02-02 19:00:00,0,0,0,0
2015-02-02 20:00:00,0,0,0,0
2015-02-02 21:00:00,0,0,0,0
2015-02-02 22:00:00,0,0,0,0
2015-02-02 23:00:00,0,0,0,0
2015-02-02 24:00:00,0,0,0,0
2015-02-03 1:00:00,0,0,0,0
2015-02-03 2:00:00,0,0,0,0
2015-02-03 3:00:00,0,0,0,0
2015-02-03 4:00:00,0,0,0,0
2015-02-03 5:00:00,0,0,0,0
2015-02-03 6:00:00,0,0,0,0
2015-02-03 7:00:00,0,0,0,0
2015-02-03 8:00:00,2,1,1,0
2015-02-03 9:00:00,57,46,71,56
2015-02-03 10:00:00,174,126,121,166
2015-02-03 11:00:00,209,240,364,298
2015-02-03 12:00:00,274,286,435,334
2015-02-03 13:00:00,296,284,406,337
2015-02-03 14:00:00,305,367,495,422
2015-02-03 15:00:00,166,396,523,466
2015-02-03 16:00:00,64,259,363,301
2015-02-03 17:00:00,17,111,146,112
2015-02-03 18:00:00,3,30,27,16
