Forecast time,forecast,Temperature,Humidity,WindSpeed,WindDirection,Cloud
2020-12-01 02:00:00,4,4.0,40.0,4.3,352.0,3.0
2020-12-01 02:00:00,7,3.0,50.0,3.0,12.0,3.0
2020-12-01 02:00:00,10,2.0,50.0,2.7,27.0,3.0
2020-12-01 02:00:00,13,1.0,55.0,3.2,22.0,3.0
2020-12-01 02:00:00,16,1.0,55.0,3.0,24.0,4.0
2020-12-01 02:00:00,19,2.0,55.0,3.0,14.0,4.0
2020-12-01 02:00:00,22,2.0,55.0,3.7,358.0,3.0
2020-12-01 02:00:00,25,4.0,50.0,3.5,3.0,3.0
2020-12-01 02:00:00,28,5.0,45.0,4.4,332.0,1.0
2020-12-01 02:00:00,31,3.0,60.0,2.7,352.0,1.0
2020-12-01 02:00:00,34,2.0,65.0,2.6,358.0,4.0
2020-12-01 02:00:00,37,2.0,65.0,2.1,17.0,4.0
2020-12-01 02:00:00,40,2.0,65.0,3.4,358.0,4.0
2020-12-01 02:00:00,43,1.0,60.0,3.9,359.0,3.0
2020-12-01 02:00:00,46,2.0,55.0,5.0,347.0,3.0
2020-12-01 02:00:00,49,4.0,45.0,7.0,331.0,3.0
2020-12-01 02:00:00,52,3.0,50.0,6.0,333.0,1.0
2020-12-01 02:00:00,55,1.0,55.0,3.3,342.0,1.0
2020-12-01 02:00:00,58,1.0,60.0,3.3,340.0,1.0
2020-12-01 02:00:00,61,0.0,60.0,3.6,354.0,1.0
2020-12-01 05:00:00,4,3.0,50.0,3.0,12.0,3.0
2020-12-01 05:00:00,7,2.0,50.0,2.7,27.0,3.0
2020-12-01 05:00:00,10,1.0,55.0,3.2,22.0,3.0
2020-12-01 05:00:00,13,1.0,55.0,3.0,24.0,4.0
2020-12-01 05:00:00,16,2.0,55.0,3.0,14.0,4.0
2020-12-01 05:00:00,19,2.0,55.0,3.7,358.0,3.0
2020-12-01 05:00:00,22,4.0,50.0,3.5,3.0,3.0
2020-12-01 05:00:00,25,5.0,45.0,4.4,332.0,1.0
2020-12-01 05:00:00,28,3.0,60.0,2.7,352.0,1.0
2020-12-01 05:00:00,31,2.0,65.0,2.6,358.0,4.0
2020-12-01 05:00:00,34,2.0,65.0,2.1,17.0,4.0
2020-12-01 05:00:00,37,2.0,65.0,3.4,358.0,4.0
2020-12-01 05:00:00,40,1.0,60.0,3.9,359.0,3.0
2020-12-01 05:00:00,43,2.0,55.0,5.0,347.0,3.0
2020-12-01 05:00:00,46,4.0,45.0,7.0,331.0,3.0
2020-12-01 05:00:00,49,3.0,50.0,6.0,333.0,1.0
2020-12-01 05:00:00,52,1.0,55.0,3.3,342.0,1.0
2020-12-01 05:00:00,55,1.0,60.0,3.3,340.0,1.0
2020-12-01 05:00:00,58,0.0,60.0,3.6,354.0,1.0
2020-12-01 08:00:00,4,2.0,50.0,2.7,28.0,3.0
2020-12-01 08:00:00,7,2.0,55.0,3.0,17.0,3.0
2020-12-01 08:00:00,10,2.0,55.0,3.2,16.0,4.0
2020-12-01 08:00:00,13,2.0,55.0,3.6,8.0,4.0
2020-12-01 08:00:00,16,2.0,50.0,2.9,20.0,3.0
2020-12-01 08:00:00,19,5.0,40.0,3.3,357.0,3.0
2020-12-01 08:00:00,22,5.0,40.0,4.7,344.0,1.0
2020-12-01 08:00:00,25,3.0,55.0,2.9,352.0,1.0
2020-12-01 08:00:00,28,2.0,65.0,2.6,356.0,4.0
2020-12-01 08:00:00,31,2.0,65.0,3.7,336.0,4.0
2020-12-01 08:00:00,34,2.0,60.0,4.8,338.0,4.0
2020-12-01 08:00:00,37,2.0,60.0,5.1,349.0,3.0
2020-12-01 08:00:00,40,2.0,55.0,5.4,351.0,3.0
2020-12-01 08:00:00,43,4.0,45.0,6.4,333.0,3.0
2020-12-01 08:00:00,46,3.0,50.0,6.1,330.0,1.0
2020-12-01 08:00:00,49,2.0,55.0,3.9,337.0,1.0
2020-12-01 08:00:00,52,0.0,60.0,3.6,339.0,1.0
2020-12-01 08:00:00,55,0.0,60.0,3.7,344.0,1.0
2020-12-01 11:00:00,4,2.0,55.0,3.0,17.0,3.0
2020-12-01 11:00:00,7,2.0,55.0,3.2,16.0,4.0
2020-12-01 11:00:00,10,2.0,55.0,3.6,8.0,4.0
2020-12-01 11:00:00,13,2.0,50.0,2.9,20.0,3.0
2020-12-01 11:00:00,16,5.0,40.0,3.3,357.0,3.0
2020-12-01 11:00:00,19,5.0,40.0,4.7,344.0,1.0
2020-12-01 11:00:00,22,3.0,55.0,2.9,352.0,1.0
2020-12-01 11:00:00,25,2.0,65.0,2.6,356.0,4.0
2020-12-01 11:00:00,28,2.0,65.0,3.7,336.0,4.0
2020-12-01 11:00:00,31,2.0,60.0,4.8,338.0,4.0
2020-12-01 11:00:00,34,2.0,60.0,5.1,349.0,3.0
2020-12-01 11:00:00,37,2.0,55.0,5.4,351.0,3.0
2020-12-01 11:00:00,40,4.0,45.0,6.4,333.0,3.0
2020-12-01 11:00:00,43,3.0,50.0,6.1,330.0,1.0
2020-12-01 11:00:00,46,2.0,55.0,3.9,337.0,1.0
2020-12-01 11:00:00,49,0.0,60.0,3.6,339.0,1.0
2020-12-01 11:00:00,52,0.0,60.0,3.7,344.0,1.0
2020-12-01 14:00:00,4,2.0,55.0,3.2,16.0,4.0
2020-12-01 14:00:00,7,2.0,55.0,3.6,8.0,4.0
2020-12-01 14:00:00,10,2.0,50.0,2.9,20.0,3.0
2020-12-01 14:00:00,13,5.0,40.0,3.3,357.0,3.0
2020-12-01 14:00:00,16,5.0,40.0,4.7,344.0,1.0
2020-12-01 14:00:00,19,3.0,55.0,2.9,352.0,1.0
2020-12-01 14:00:00,22,2.0,65.0,2.6,356.0,4.0
2020-12-01 14:00:00,25,2.0,65.0,3.7,336.0,4.0
2020-12-01 14:00:00,28,2.0,60.0,4.8,338.0,4.0
2020-12-01 14:00:00,31,2.0,60.0,5.1,349.0,3.0
2020-12-01 14:00:00,34,2.0,55.0,5.4,351.0,3.0
2020-12-01 14:00:00,37,4.0,45.0,6.4,333.0,3.0
2020-12-01 14:00:00,40,3.0,50.0,6.1,330.0,1.0
2020-12-01 14:00:00,43,2.0,55.0,3.9,337.0,1.0
2020-12-01 14:00:00,46,0.0,60.0,3.6,339.0,1.0
2020-12-01 14:00:00,49,0.0,60.0,3.7,344.0,1.0
2020-12-01 17:00:00,4,2.0,55.0,3.6,8.0,4.0
2020-12-01 17:00:00,7,2.0,50.0,2.9,20.0,3.0
2020-12-01 17:00:00,10,5.0,40.0,3.3,357.0,3.0
2020-12-01 17:00:00,13,5.0,40.0,4.7,344.0,1.0
2020-12-01 17:00:00,16,3.0,55.0,2.9,352.0,1.0
2020-12-01 17:00:00,19,2.0,65.0,2.6,356.0,4.0
2020-12-01 17:00:00,22,2.0,65.0,3.7,336.0,4.0
2020-12-01 17:00:00,25,2.0,60.0,4.8,338.0,4.0
2020-12-01 17:00:00,28,2.0,60.0,5.1,349.0,3.0
2020-12-01 17:00:00,31,2.0,55.0,5.4,351.0,3.0
2020-12-01 17:00:00,34,4.0,45.0,6.4,333.0,3.0
2020-12-01 17:00:00,37,3.0,50.0,6.1,330.0,1.0
2020-12-01 17:00:00,40,2.0,55.0,3.9,337.0,1.0
2020-12-01 17:00:00,43,0.0,60.0,3.6,339.0,1.0
2020-12-01 17:00:00,46,0.0,60.0,3.7,344.0,1.0
2020-12-01 20:00:00,4,2.0,50.0,3.9,12.0,4.0
2020-12-01 20:00:00,7,5.0,40.0,4.3,15.0,4.0
2020-12-01 20:00:00,10,5.0,45.0,4.9,352.0,3.0
2020-12-01 20:00:00,13,3.0,60.0,2.6,349.0,4.0
2020-12-01 20:00:00,16,2.0,65.0,2.6,351.0,4.0
2020-12-01 20:00:00,19,2.0,65.0,4.1,346.0,3.0
2020-12-01 20:00:00,22,2.0,65.0,3.8,360.0,3.0
2020-12-01 20:00:00,25,1.0,65.0,3.4,3.0,3.0
2020-12-01 20:00:00,28,2.0,55.0,4.3,351.0,3.0
2020-12-01 20:00:00,31,4.0,45.0,6.4,328.0,1.0
2020-12-01 20:00:00,34,3.0,50.0,6.1,327.0,1.0
2020-12-01 20:00:00,37,2.0,55.0,3.6,330.0,1.0
2020-12-01 20:00:00,40,1.0,60.0,3.8,340.0,1.0
2020-12-01 20:00:00,43,0.0,65.0,3.2,340.0,1.0
2020-12-01 20:00:00,46,0.0,65.0,3.5,348.0,1.0
2020-12-01 20:00:00,49,-1.0,70.0,2.5,18.0,1.0
2020-12-01 20:00:00,52,1.0,65.0,2.3,31.0,1.0
2020-12-01 20:00:00,55,4.0,55.0,4.8,342.0,1.0
2020-12-01 20:00:00,58,4.0,60.0,4.9,333.0,1.0
2020-12-01 20:00:00,61,2.0,65.0,1.2,360.0,3.0
2020-12-01 20:00:00,64,1.0,75.0,2.3,140.0,4.0
2020-12-01 20:00:00,67,-1.0,75.0,2.3,157.0,4.0
