일시,지점,지점명,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위),강수량(mm),증기압(hPa),해면기압(hPa),일조(hr),중하층운량(10분위)
2015-01-01 00:00,152,울산,,6.5,290,,,,,,,
2015-01-01 01:00,152,울산,-1.0,4.5,270,42,,,2.4,1017.4,,
2015-01-01 02:00,152,울산,-1.3,3.4,320,39,,,2.2,1017.6,,
2015-01-01 03:00,152,울산,-2.5,5.0,320,49,4,,2.5,1018.6,,4
2015-01-01 04:00,152,울산,-3.3,6.2,290,36,0,,1.7,1018.3,,0
2015-01-01 05:00,152,울산,-3.7,7.0,290,28,0,,1.3,1018.3,,0
2015-01-01 06:00,152,울산,-4.4,5.9,290,29,0,,1.3,1018.6,,0
2015-01-01 07:00,152,울산,-4.8,4.0,320,30,1,,1.3,1019.2,,1
2015-01-01 08:00,152,울산,-4.8,4.2,320,31,0,,1.3,1019.8,0.0,0
2015-01-01 09:00,152,울산,-4.2,4.0,340,29,0,,1.3,1020.7,0.7,0
2015-01-01 10:00,152,울산,-3.7,8.5,320,26,0,,1.2,1020.4,,0
2015-01-01 11:00,152,울산,-3.0,7.9,290,22,0,,1.1,1019.9,,0
2015-01-01 12:00,152,울산,-1.9,5.6,340,19,0,,1.0,1020.0,,0
2015-01-01 13:00,152,울산,-1.2,7.0,320,18,0,,1.0,1019.5,,0
2015-01-01 14:00,152,울산,-0.2,3.8,340,17,0,,1.0,1019.6,,0
2015-01-01 15:00,152,울산,0.3,4.3,340,18,0,,1.1,1019.4,,0
2015-01-01 16:00,152,울산,-0.4,5.3,290,21,0,,1.2,1020.0,,0
2015-01-01 17:00,152,울산,-0.9,6.3,320,23,0,,1.3,1020.5,,0
2015-01-01 18:00,152,울산,-1.6,5.4,320,25,0,,1.4,1021.0,0.1,0
2015-01-01 19:00,152,울산,-1.7,4.9,320,26,,,1.4,1021.2,,
2015-01-01 20:00,152,울산,-2.3,1.5,50,28,,,1.5,1022.4,,
2015-01-01 21:00,152,울산,-2.9,3.6,,33,0,,1.6,1023.1,,0
2015-01-01 22:00,152,울산,-3.7,2.6,20,38,,,1.8,1023.4,,
2015-01-01 23:00,152,울산,-4.1,2.3,,42,,,1.9,1023.4,,
2015-01-02 00:00,152,울산,-4.4,1.7,,44,0,,1.9,1022.8,,0
2015-01-02 01:00,152,울산,-4.5,2.3,20,45,,,2.0,1022.9,,
2015-01-02 02:00,152,울산,-4.1,5.1,320,45,,,2.0,1023.3,,
2015-01-02 03:00,152,울산,-3.6,6.1,320,47,2,,2.2,1023.0,,2
2015-01-02 04:00,152,울산,-3.5,4.6,340,49,5,,2.3,1022.3,,5
2015-01-02 05:00,152,울산,-3.6,2.9,340,50,0,,2.3,1022.0,,0
2015-01-02 06:00,152,울산,-3.3,3.4,340,52,0,,2.5,1021.6,,0
2015-01-02 07:00,152,울산,-3.1,2.6,340,52,0,,2.5,1021.7,,0
2015-01-02 08:00,152,울산,-3.8,0.8,50,55,3,,2.5,1022.2,0.0,3
2015-01-02 09:00,152,울산,-1.3,2.3,180,48,2,,2.7,1022.4,0.8,2
2015-01-02 10:00,152,울산,-0.2,5.0,290,34,0,,2.0,1022.2,,0
2015-01-02 11:00,152,울산,1.1,5.8,290,28,0,,1.8,1021.7,,0
2015-01-02 12:00,152,울산,1.9,6.5,320,27,1,,1.9,1020.7,,1
2015-01-02 13:00,152,울산,2.4,5.4,320,28,2,,2.0,1020.0,,2
2015-01-02 14:00,152,울산,2.3,6.6,290,30,2,,2.2,1020.0,,2
2015-01-02 15:00,152,울산,2.3,4.7,340,30,2,,2.2,1020.6,,2
2015-01-02 16:00,152,울산,1.4,7.8,320,30,0,,2.0,1021.1,,0
2015-01-02 17:00,152,울산,0.6,5.0,320,31,0,,2.0,1021.7,,0
2015-01-02 18:00,152,울산,0.0,3.5,320,29,0,,1.8,1022.9,0.1,0
2015-01-02 19:00,152,울산,-0.6,2.9,340,29,,,1.7,1024.1,,
2015-01-02 20:00,152,울산,-1.1,2.2,320,28,,,1.6,1024.7,,
2015-01-02 21:00,152,울산,-1.6,4.8,320,30,0,,1.6,1024.8,,0
2015-01-02 22:00,152,울산,-1.9,2.1,320,29,,,1.5,1025.2,,
2015-01-02 23:00,152,울산,-2.1,3.1,340,29,,,1.5,1025.0,,
2015-01-03 00:00,152,울산,-2.6,3.2,340,32,0,,1.6,1025.2,,0
2015-01-03 01:00,152,울산,-3.1,1.4,50,33,,,1.6,1025.3,,
2015-01-03 02:00,152,울산,-3.5,2.6,20,35,,,1.7,1025.0,,
2015-01-03 03:00,152,울산,-2.5,3.7,340,32,0,,1.6,1024.6,,0
2015-01-03 04:00,152,울산,-3.3,2.5,,34,0,,1.6,1024.4,,0
2015-01-03 05:00,152,울산,-4.1,1.2,20,36,0,,1.6,1024.1,,0
2015-01-03 06:00,152,울산,-5.0,1.3,320,42,0,,1.8,1024.3,,0
2015-01-03 07:00,152,울산,-4.3,1.4,,37,0,,1.6,1024.0,,0
2015-01-03 08:00,152,울산,-3.4,2.5,,32,2,,1.5,1024.3,0.0,0
2015-01-03 09:00,152,울산,-2.6,0.7,250,38,2,,1.9,1025.0,0.8,0
2015-01-03 10:00,152,울산,0.8,0.9,290,24,3,,1.6,1024.7,,0
2015-01-03 11:00,152,울산,2.4,2.0,250,19,2,,1.4,1024.1,,0
2015-01-03 12:00,152,울산,5.1,1.6,320,11,3,,1.0,1022.4,,0
2015-01-03 13:00,152,울산,6.1,1.6,110,12,3,,1.1,1021.4,,0
2015-01-03 14:00,152,울산,6.2,3.0,70,11,4,,1.0,1020.4,,0
2015-01-03 15:00,152,울산,6.7,2.6,70,9,4,,0.9,1020.3,,0
2015-01-03 16:00,152,울산,7.2,2.0,70,10,2,,1.0,1020.1,,0
2015-01-03 17:00,152,울산,6.4,1.8,20,12,3,,1.1,1020.2,,0
2015-01-03 18:00,152,울산,4.0,0.1,0,17,3,,1.4,1019.8,0.1,0
2015-01-03 19:00,152,울산,2.4,1.0,290,22,,,1.6,1019.6,,
2015-01-03 20:00,152,울산,1.3,0.3,0,28,,,1.9,1020.0,,
2015-01-03 21:00,152,울산,1.6,0.7,270,30,7,,2.1,1019.9,,0
2015-01-03 22:00,152,울산,1.6,0.3,0,33,,,2.3,1019.6,,
2015-01-03 23:00,152,울산,1.2,0.4,0,35,,,2.3,1019.5,,
2015-01-04 00:00,152,울산,0.6,0.6,290,36,7,,2.3,1019.1,,4
2015-01-04 01:00,152,울산,0.7,0.7,230,38,,,2.4,1018.7,,
2015-01-04 02:00,152,울산,0.6,0.6,50,39,,,2.5,1019.1,,
2015-01-04 03:00,152,울산,-0.4,0.2,0,43,4,,2.6,1019.2,,4
2015-01-04 04:00,152,울산,-0.5,0.6,250,46,5,,2.7,1018.7,,5
2015-01-04 05:00,152,울산,-0.8,0.8,250,46,4,,2.6,1018.3,,4
2015-01-04 06:00,152,울산,-0.9,0.6,230,51,3,,2.9,1018.3,,3
2015-01-04 07:00,152,울산,-1.5,0.8,270,54,3,,3.0,1018.1,,3
2015-01-04 08:00,152,울산,-2.0,0.4,0,56,1,,3.0,1018.4,0.0,1
2015-01-04 09:00,152,울산,-0.2,0.5,290,52,0,,3.1,1018.7,0.6,0
2015-01-04 10:00,152,울산,2.5,0.8,250,43,0,,3.1,1018.5,,0
2015-01-04 11:00,152,울산,6.8,0.7,180,35,0,,3.5,1018.0,,0
2015-01-04 12:00,152,울산,9.5,0.8,110,38,0,,4.5,1016.9,,0
2015-01-04 13:00,152,울산,11.3,1.5,180,37,0,,5.0,1015.9,,0
2015-01-04 14:00,152,울산,11.5,2.4,70,37,0,,5.0,1015.3,,0
2015-01-04 15:00,152,울산,12.4,1.1,160,35,1,,5.0,1015.8,,1
2015-01-04 16:00,152,울산,11.6,2.0,70,35,0,,4.8,1015.7,,0
2015-01-04 17:00,152,울산,10.4,2.6,20,39,0,,4.9,1016.3,0.9,0
2015-01-04 18:00,152,울산,9.0,1.9,,44,0,,5.0,1017.3,0.0,0
