Forecast time,forecast,Temperature,Humidity,WindSpeed,WindDirection,Cloud
2020-12-01 02:00:00,4,10.0,35.0,3.0,356.0,1.0
2020-12-01 02:00:00,7,6.0,55.0,2.6,335.0,1.0
2020-12-01 02:00:00,10,4.0,45.0,3.1,328.0,3.0
2020-12-01 02:00:00,13,3.0,50.0,2.9,326.0,3.0
2020-12-01 02:00:00,16,3.0,55.0,3.1,329.0,3.0
2020-12-01 02:00:00,19,3.0,65.0,3.1,331.0,3.0
2020-12-01 02:00:00,22,6.0,55.0,3.4,346.0,3.0
2020-12-01 02:00:00,25,11.0,40.0,3.3,339.0,4.0
2020-12-01 02:00:00,28,12.0,35.0,2.6,317.0,3.0
2020-12-01 02:00:00,31,7.0,40.0,3.5,320.0,1.0
2020-12-01 02:00:00,34,5.0,50.0,4.1,319.0,1.0
2020-12-01 02:00:00,37,3.0,50.0,4.4,319.0,1.0
2020-12-01 02:00:00,40,2.0,45.0,4.9,318.0,1.0
2020-12-01 02:00:00,43,2.0,40.0,4.8,322.0,1.0
2020-12-01 02:00:00,46,5.0,35.0,4.8,319.0,1.0
2020-12-01 02:00:00,49,9.0,30.0,5.7,315.0,1.0
2020-12-01 02:00:00,52,9.0,25.0,5.5,315.0,1.0
2020-12-01 02:00:00,55,5.0,35.0,5.1,311.0,1.0
2020-12-01 02:00:00,58,2.0,40.0,5.4,314.0,1.0
2020-12-01 02:00:00,61,1.0,45.0,5.4,317.0,1.0
2020-12-01 05:00:00,4,6.0,55.0,2.6,335.0,1.0
2020-12-01 05:00:00,7,4.0,45.0,3.1,328.0,3.0
2020-12-01 05:00:00,10,3.0,50.0,2.9,326.0,3.0
2020-12-01 05:00:00,13,3.0,55.0,3.1,329.0,3.0
2020-12-01 05:00:00,16,3.0,65.0,3.1,331.0,3.0
2020-12-01 05:00:00,19,6.0,55.0,3.4,346.0,3.0
2020-12-01 05:00:00,22,11.0,40.0,3.3,339.0,4.0
2020-12-01 05:00:00,25,12.0,35.0,2.6,317.0,3.0
2020-12-01 05:00:00,28,7.0,40.0,3.5,320.0,1.0
2020-12-01 05:00:00,31,5.0,50.0,4.1,319.0,1.0
2020-12-01 05:00:00,34,3.0,50.0,4.4,319.0,1.0
2020-12-01 05:00:00,37,2.0,45.0,4.9,318.0,1.0
2020-12-01 05:00:00,40,2.0,40.0,4.8,322.0,1.0
2020-12-01 05:00:00,43,5.0,35.0,4.8,319.0,1.0
2020-12-01 05:00:00,46,9.0,30.0,5.7,315.0,1.0
2020-12-01 05:00:00,49,9.0,25.0,5.5,315.0,1.0
2020-12-01 05:00:00,52,5.0,35.0,5.1,311.0,1.0
2020-12-01 05:00:00,55,2.0,40.0,5.4,314.0,1.0
2020-12-01 05:00:00,58,1.0,45.0,5.4,317.0,1.0
2020-12-01 08:00:00,4,4.0,50.0,2.9,333.0,3.0
2020-12-01 08:00:00,7,3.0,55.0,2.9,331.0,3.0
2020-12-01 08:00:00,10,3.0,55.0,3.1,331.0,3.0
2020-12-01 08:00:00,13,3.0,60.0,3.2,330.0,3.0
2020-12-01 08:00:00,16,6.0,55.0,3.2,346.0,3.0
2020-12-01 08:00:00,19,11.0,40.0,3.1,9.0,4.0
2020-12-01 08:00:00,22,12.0,35.0,2.4,348.0,3.0
2020-12-01 08:00:00,25,7.0,40.0,3.5,320.0,1.0
2020-12-01 08:00:00,28,5.0,50.0,4.2,316.0,1.0
2020-12-01 08:00:00,31,3.0,50.0,5.1,317.0,1.0
2020-12-01 08:00:00,34,2.0,40.0,5.3,317.0,1.0
2020-12-01 08:00:00,37,2.0,35.0,5.5,316.0,1.0
2020-12-01 08:00:00,40,4.0,30.0,5.3,317.0,1.0
2020-12-01 08:00:00,43,9.0,30.0,5.9,318.0,1.0
2020-12-01 08:00:00,46,9.0,25.0,5.7,312.0,1.0
2020-12-01 08:00:00,49,5.0,35.0,5.3,309.0,1.0
2020-12-01 08:00:00,52,2.0,40.0,5.3,311.0,1.0
2020-12-01 08:00:00,55,1.0,45.0,5.2,316.0,3.0
2020-12-01 11:00:00,4,4.0,55.0,2.9,331.0,3.0
2020-12-01 11:00:00,7,3.0,55.0,3.1,331.0,3.0
2020-12-01 11:00:00,10,3.0,60.0,3.2,330.0,3.0
2020-12-01 11:00:00,13,6.0,55.0,3.2,346.0,3.0
2020-12-01 11:00:00,16,11.0,40.0,3.1,9.0,4.0
2020-12-01 11:00:00,19,12.0,35.0,2.4,348.0,3.0
2020-12-01 11:00:00,22,7.0,40.0,3.5,320.0,1.0
2020-12-01 11:00:00,25,5.0,50.0,4.2,316.0,1.0
2020-12-01 11:00:00,28,3.0,50.0,5.1,317.0,1.0
2020-12-01 11:00:00,31,2.0,40.0,5.3,317.0,1.0
